"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Simon & Garfunkel","70cRZdQywnSFp9pnc2WTCE","1ij5yccP6JGncqw0690LqV","album","2015-08-03",2015,"day",0.245,0.928,2,-10.836,1,0.549,0.974,0.0278,0.36,0.293,107.284,"2a2bKiiY368202tM0z9szB","https://api.spotify.com/v1/audio-analysis/2a2bKiiY368202tM0z9szB",4,1,165440,FALSE,"https://api.spotify.com/v1/tracks/2a2bKiiY368202tM0z9szB",FALSE,"A Poem On The Underground Wall (Live) - Remastered","https://p.scdn.co/mp3-preview/387c3b9927400f7e8905606b063e23323d63f62b?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:2a2bKiiY368202tM0z9szB","https://open.spotify.com/track/2a2bKiiY368202tM0z9szB","Live At Syracuse University, Syracuse, Ny, Nov 1967 (Remastered)","D","major","D major","folk"
"Simon & Garfunkel","70cRZdQywnSFp9pnc2WTCE","1ij5yccP6JGncqw0690LqV","album","2015-08-03",2015,"day",0.241,0.704,8,-10.206,1,0.0539,0.98,0.836,0.688,0.373,121.703,"7nDbvhJPmjQ063hjesLM9p","https://api.spotify.com/v1/audio-analysis/7nDbvhJPmjQ063hjesLM9p",4,1,163693,FALSE,"https://api.spotify.com/v1/tracks/7nDbvhJPmjQ063hjesLM9p",FALSE,"For Emily, Wherever I May Find Her (Live) - Remastered","https://p.scdn.co/mp3-preview/cb25dfd5a0c577f02fb374f64ec98a6e67569a65?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:7nDbvhJPmjQ063hjesLM9p","https://open.spotify.com/track/7nDbvhJPmjQ063hjesLM9p","Live At Syracuse University, Syracuse, Ny, Nov 1967 (Remastered)","G#","major","G# major","folk"
"Simon & Garfunkel","70cRZdQywnSFp9pnc2WTCE","1ij5yccP6JGncqw0690LqV","album","2015-08-03",2015,"day",0.365,0.722,2,-12.472,1,0.167,0.99,0.0294,0.97,0.642,130.401,"3e4BRcZgdEVIzygm7n1mQ8","https://api.spotify.com/v1/audio-analysis/3e4BRcZgdEVIzygm7n1mQ8",4,1,159586,FALSE,"https://api.spotify.com/v1/tracks/3e4BRcZgdEVIzygm7n1mQ8",FALSE,"Overs (Live) - Remastered","https://p.scdn.co/mp3-preview/779463c03d81d43837adaaa54b54076277e76848?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:3e4BRcZgdEVIzygm7n1mQ8","https://open.spotify.com/track/3e4BRcZgdEVIzygm7n1mQ8","Live At Syracuse University, Syracuse, Ny, Nov 1967 (Remastered)","D","major","D major","folk"
"Simon & Garfunkel","70cRZdQywnSFp9pnc2WTCE","1ij5yccP6JGncqw0690LqV","album","2015-08-03",2015,"day",0.504,0.962,5,-14.997,1,0.828,0.985,5.96e-05,0.889,0.163,108.981,"4urODaEbgzklwfamx9XU3j","https://api.spotify.com/v1/audio-analysis/4urODaEbgzklwfamx9XU3j",3,1,58120,FALSE,"https://api.spotify.com/v1/tracks/4urODaEbgzklwfamx9XU3j",FALSE,"Introduction Of Eddie Simon (Live) - Remastered","https://p.scdn.co/mp3-preview/60e5d97378455fc365d73379d2d7e9ce1153884e?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:4urODaEbgzklwfamx9XU3j","https://open.spotify.com/track/4urODaEbgzklwfamx9XU3j","Live At Syracuse University, Syracuse, Ny, Nov 1967 (Remastered)","F","major","F major","folk"
"Simon & Garfunkel","70cRZdQywnSFp9pnc2WTCE","1ij5yccP6JGncqw0690LqV","album","2015-08-03",2015,"day",0.355,0.682,11,-12.821,0,0.0873,0.97,0.837,0.569,0.632,80.732,"1A35koJtZQxClA2bAhHDMy","https://api.spotify.com/v1/audio-analysis/1A35koJtZQxClA2bAhHDMy",4,1,159573,FALSE,"https://api.spotify.com/v1/tracks/1A35koJtZQxClA2bAhHDMy",FALSE,"Anji (Live) - Remastered","https://p.scdn.co/mp3-preview/82f729e97fcffb5d845d2a9b1b36286c6b4df325?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:1A35koJtZQxClA2bAhHDMy","https://open.spotify.com/track/1A35koJtZQxClA2bAhHDMy","Live At Syracuse University, Syracuse, Ny, Nov 1967 (Remastered)","B","minor","B minor","folk"
"Simon & Garfunkel","70cRZdQywnSFp9pnc2WTCE","1ij5yccP6JGncqw0690LqV","album","2015-08-03",2015,"day",0.346,0.849,1,-11.945,0,0.193,0.976,0.016,0.74,0.6,114.205,"4yC46X62fMVxZml3Fnjvpk","https://api.spotify.com/v1/audio-analysis/4yC46X62fMVxZml3Fnjvpk",4,1,173120,FALSE,"https://api.spotify.com/v1/tracks/4yC46X62fMVxZml3Fnjvpk",FALSE,"Patterns (Live) - Remastered","https://p.scdn.co/mp3-preview/47c393cec5610a911e3d7d3eed956136c9bfa7ff?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:4yC46X62fMVxZml3Fnjvpk","https://open.spotify.com/track/4yC46X62fMVxZml3Fnjvpk","Live At Syracuse University, Syracuse, Ny, Nov 1967 (Remastered)","C#","minor","C# minor","folk"
"Simon & Garfunkel","70cRZdQywnSFp9pnc2WTCE","1ij5yccP6JGncqw0690LqV","album","2015-08-03",2015,"day",0.322,0.501,6,-11.832,1,0.0534,0.984,0.0503,0.823,0.342,101.986,"6UhlRJymDTaBfx0FrCACLH","https://api.spotify.com/v1/audio-analysis/6UhlRJymDTaBfx0FrCACLH",4,1,210720,FALSE,"https://api.spotify.com/v1/tracks/6UhlRJymDTaBfx0FrCACLH",FALSE,"The Sound Of Silence (Live) - Remastered","https://p.scdn.co/mp3-preview/27d50a99cfd6fd3736fca28d6266beb87f60e7a8?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:6UhlRJymDTaBfx0FrCACLH","https://open.spotify.com/track/6UhlRJymDTaBfx0FrCACLH","Live At Syracuse University, Syracuse, Ny, Nov 1967 (Remastered)","F#","major","F# major","folk"
"Simon & Garfunkel","70cRZdQywnSFp9pnc2WTCE","1ij5yccP6JGncqw0690LqV","album","2015-08-03",2015,"day",0.229,0.403,2,-14.229,1,0.0473,0.971,0.189,0.879,0.344,86.424,"0QOw9qrsJzVSxWjiNN0z76","https://api.spotify.com/v1/audio-analysis/0QOw9qrsJzVSxWjiNN0z76",4,1,192933,FALSE,"https://api.spotify.com/v1/tracks/0QOw9qrsJzVSxWjiNN0z76",FALSE,"Scarborough Fair (Live) - Remastered","https://p.scdn.co/mp3-preview/019569784a946cb745c26ff4d3def5879dfeb797?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:0QOw9qrsJzVSxWjiNN0z76","https://open.spotify.com/track/0QOw9qrsJzVSxWjiNN0z76","Live At Syracuse University, Syracuse, Ny, Nov 1967 (Remastered)","D","major","D major","folk"
"Simon & Garfunkel","70cRZdQywnSFp9pnc2WTCE","1ij5yccP6JGncqw0690LqV","album","2015-08-03",2015,"day",0.345,0.39,0,-12.779,0,0.0554,0.934,0.000168,0.896,0.288,81.037,"5PDonT8JKBLg43IcHF9BHj","https://api.spotify.com/v1/audio-analysis/5PDonT8JKBLg43IcHF9BHj",1,1,210400,FALSE,"https://api.spotify.com/v1/tracks/5PDonT8JKBLg43IcHF9BHj",FALSE,"America (Live) - Remastered","https://p.scdn.co/mp3-preview/15e4aa559b3ab26f29403b7de63bc065bf641691?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:5PDonT8JKBLg43IcHF9BHj","https://open.spotify.com/track/5PDonT8JKBLg43IcHF9BHj","Live At Syracuse University, Syracuse, Ny, Nov 1967 (Remastered)","C","minor","C minor","folk"
"Simon & Garfunkel","70cRZdQywnSFp9pnc2WTCE","1ij5yccP6JGncqw0690LqV","album","2015-08-03",2015,"day",0.534,0.431,4,-12.389,1,0.0438,0.884,0.207,0.677,0.776,131.336,"0pEmDTSCY3eWYXN8kmRF6e","https://api.spotify.com/v1/audio-analysis/0pEmDTSCY3eWYXN8kmRF6e",4,1,130985,FALSE,"https://api.spotify.com/v1/tracks/0pEmDTSCY3eWYXN8kmRF6e",FALSE,"Punkys Dilemma (Live) - Remastered","https://p.scdn.co/mp3-preview/e60f40aecacf2ab67e314e0005dc6dc0631079c7?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:0pEmDTSCY3eWYXN8kmRF6e","https://open.spotify.com/track/0pEmDTSCY3eWYXN8kmRF6e","Live At Syracuse University, Syracuse, Ny, Nov 1967 (Remastered)","E","major","E major","folk"
