"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Sturgill Simpson","3vDpQbGnzRbRVirXlfQagB","3N51Ixwph25awFqhoACG0U","album","2020-12-11",2020,"day",0.408,0.83,0,-5.445,1,0.0329,0.113,0.00293,0.399,0.84,165.823,"2OuTiPIDvDTG4a3fDOA4ZN","https://api.spotify.com/v1/audio-analysis/2OuTiPIDvDTG4a3fDOA4ZN",4,1,182271,TRUE,"https://api.spotify.com/v1/tracks/2OuTiPIDvDTG4a3fDOA4ZN",FALSE,"Call to Arms","https://p.scdn.co/mp3-preview/f2a79434201078cc934bb0e6b995661060d3c277?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:2OuTiPIDvDTG4a3fDOA4ZN","https://open.spotify.com/track/2OuTiPIDvDTG4a3fDOA4ZN","Cuttin' Grass - Vol. 2 (Cowboy Arms Sessions)","C","major","C major","folk"
"Sturgill Simpson","3vDpQbGnzRbRVirXlfQagB","3N51Ixwph25awFqhoACG0U","album","2020-12-11",2020,"day",0.603,0.659,0,-9.7,1,0.032,0.571,0.608,0.097,0.749,117.464,"3iLjUZBNEWxGn5HQDpmMXo","https://api.spotify.com/v1/audio-analysis/3iLjUZBNEWxGn5HQDpmMXo",4,1,258217,FALSE,"https://api.spotify.com/v1/tracks/3iLjUZBNEWxGn5HQDpmMXo",FALSE,"Brace for Impact (Live a Little)","https://p.scdn.co/mp3-preview/8e9022234515ae745a89e0567e784eb22b3062c1?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:3iLjUZBNEWxGn5HQDpmMXo","https://open.spotify.com/track/3iLjUZBNEWxGn5HQDpmMXo","Cuttin' Grass - Vol. 2 (Cowboy Arms Sessions)","C","major","C major","folk"
"Sturgill Simpson","3vDpQbGnzRbRVirXlfQagB","3N51Ixwph25awFqhoACG0U","album","2020-12-11",2020,"day",0.455,0.539,1,-8.932,1,0.0403,0.592,0.00919,0.105,0.641,189.161,"25oxeU7fMQVrxvScjCMAeC","https://api.spotify.com/v1/audio-analysis/25oxeU7fMQVrxvScjCMAeC",4,1,185430,TRUE,"https://api.spotify.com/v1/tracks/25oxeU7fMQVrxvScjCMAeC",FALSE,"Oh Sarah","https://p.scdn.co/mp3-preview/49216a19b70ab127ac1d609ffb450477402d8c39?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:25oxeU7fMQVrxvScjCMAeC","https://open.spotify.com/track/25oxeU7fMQVrxvScjCMAeC","Cuttin' Grass - Vol. 2 (Cowboy Arms Sessions)","C#","major","C# major","folk"
"Sturgill Simpson","3vDpQbGnzRbRVirXlfQagB","3N51Ixwph25awFqhoACG0U","album","2020-12-11",2020,"day",0.707,0.617,4,-7.194,1,0.0365,0.675,3.57e-06,0.142,0.81,95.935,"2TEEqFnoh7sKCcDwi45FsJ","https://api.spotify.com/v1/audio-analysis/2TEEqFnoh7sKCcDwi45FsJ",4,1,191314,TRUE,"https://api.spotify.com/v1/tracks/2TEEqFnoh7sKCcDwi45FsJ",FALSE,"Sea Stories","https://p.scdn.co/mp3-preview/9b7c9e33e171572e865f13120f23b5c395ccc7ec?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:2TEEqFnoh7sKCcDwi45FsJ","https://open.spotify.com/track/2TEEqFnoh7sKCcDwi45FsJ","Cuttin' Grass - Vol. 2 (Cowboy Arms Sessions)","E","major","E major","folk"
"Sturgill Simpson","3vDpQbGnzRbRVirXlfQagB","3N51Ixwph25awFqhoACG0U","album","2020-12-11",2020,"day",0.623,0.55,11,-8.098,1,0.0405,0.619,0.00167,0.212,0.551,97.418,"4dTybN5uDLkZI6YMPSMjvs","https://api.spotify.com/v1/audio-analysis/4dTybN5uDLkZI6YMPSMjvs",4,1,184325,FALSE,"https://api.spotify.com/v1/tracks/4dTybN5uDLkZI6YMPSMjvs",FALSE,"Hero","https://p.scdn.co/mp3-preview/9c333c787260f0aac99b668fddefeaed6b652ec4?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:4dTybN5uDLkZI6YMPSMjvs","https://open.spotify.com/track/4dTybN5uDLkZI6YMPSMjvs","Cuttin' Grass - Vol. 2 (Cowboy Arms Sessions)","B","major","B major","folk"
"Sturgill Simpson","3vDpQbGnzRbRVirXlfQagB","3N51Ixwph25awFqhoACG0U","album","2020-12-11",2020,"day",0.434,0.532,2,-9.544,1,0.033,0.507,0.393,0.203,0.299,135.292,"3ml6uoUEYJXQn03K8yPEFT","https://api.spotify.com/v1/audio-analysis/3ml6uoUEYJXQn03K8yPEFT",4,1,281757,FALSE,"https://api.spotify.com/v1/tracks/3ml6uoUEYJXQn03K8yPEFT",FALSE,"Welcome to Earth (Pollywog)","https://p.scdn.co/mp3-preview/b84a8fc567481d422cfb169b06132f04cec35191?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:3ml6uoUEYJXQn03K8yPEFT","https://open.spotify.com/track/3ml6uoUEYJXQn03K8yPEFT","Cuttin' Grass - Vol. 2 (Cowboy Arms Sessions)","D","major","D major","folk"
"Sturgill Simpson","3vDpQbGnzRbRVirXlfQagB","3N51Ixwph25awFqhoACG0U","album","2020-12-11",2020,"day",0.538,0.481,0,-9.051,1,0.033,0.685,0.141,0.091,0.403,123.368,"1lACeWoHILiEskLluyr9TI","https://api.spotify.com/v1/audio-analysis/1lACeWoHILiEskLluyr9TI",4,1,211382,FALSE,"https://api.spotify.com/v1/tracks/1lACeWoHILiEskLluyr9TI",FALSE,"Jesus Boogie","https://p.scdn.co/mp3-preview/a15a97d6358caf7e14c04c8e27a0b8cb5f6d08e6?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:1lACeWoHILiEskLluyr9TI","https://open.spotify.com/track/1lACeWoHILiEskLluyr9TI","Cuttin' Grass - Vol. 2 (Cowboy Arms Sessions)","C","major","C major","folk"
"Sturgill Simpson","3vDpQbGnzRbRVirXlfQagB","3N51Ixwph25awFqhoACG0U","album","2020-12-11",2020,"day",0.756,0.537,6,-8.81,1,0.0575,0.389,0.00583,0.0936,0.461,105.725,"0bA16SVnLfdIY44xpF32NB","https://api.spotify.com/v1/audio-analysis/0bA16SVnLfdIY44xpF32NB",4,1,188056,FALSE,"https://api.spotify.com/v1/tracks/0bA16SVnLfdIY44xpF32NB",FALSE,"Keep It Between the Lines","https://p.scdn.co/mp3-preview/d1168b818a2e5f8b95168fc9ca3fba0f5a18b84c?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:0bA16SVnLfdIY44xpF32NB","https://open.spotify.com/track/0bA16SVnLfdIY44xpF32NB","Cuttin' Grass - Vol. 2 (Cowboy Arms Sessions)","F#","major","F# major","folk"
"Sturgill Simpson","3vDpQbGnzRbRVirXlfQagB","3N51Ixwph25awFqhoACG0U","album","2020-12-11",2020,"day",0.652,0.686,4,-6.782,0,0.0519,0.665,0.00191,0.14,0.64,89.114,"3zdWnVKDL7ye5Qs75BU0Qw","https://api.spotify.com/v1/audio-analysis/3zdWnVKDL7ye5Qs75BU0Qw",4,1,186980,TRUE,"https://api.spotify.com/v1/tracks/3zdWnVKDL7ye5Qs75BU0Qw",FALSE,"You Can Have the Crown","https://p.scdn.co/mp3-preview/ee5d5e1a9e298780f2f3af35c2233cc3780ec31e?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:3zdWnVKDL7ye5Qs75BU0Qw","https://open.spotify.com/track/3zdWnVKDL7ye5Qs75BU0Qw","Cuttin' Grass - Vol. 2 (Cowboy Arms Sessions)","E","minor","E minor","folk"
"Sturgill Simpson","3vDpQbGnzRbRVirXlfQagB","3N51Ixwph25awFqhoACG0U","album","2020-12-11",2020,"day",0.77,0.331,4,-11.783,1,0.0323,0.825,0.0195,0.158,0.56,99.093,"3fTsT1C7HnQWGugwWW9Ww7","https://api.spotify.com/v1/audio-analysis/3fTsT1C7HnQWGugwWW9Ww7",4,1,194989,FALSE,"https://api.spotify.com/v1/tracks/3fTsT1C7HnQWGugwWW9Ww7",FALSE,"Tennessee","https://p.scdn.co/mp3-preview/b333080ad251576500e5a1e41c82d883f92efa3b?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:3fTsT1C7HnQWGugwWW9Ww7","https://open.spotify.com/track/3fTsT1C7HnQWGugwWW9Ww7","Cuttin' Grass - Vol. 2 (Cowboy Arms Sessions)","E","major","E major","folk"
