"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Terrace Martin","7MNEVabc4cs19CbzAFZmXz","5UgntWXasSNmI0s3O8rS6b","album","2020-12-11",2020,"day",0.498,0.506,1,-8.576,1,0.341,0.0444,0,0.307,0.412,94.381,"6uZRRwpvuMP4jKo0O0FxRp","https://api.spotify.com/v1/audio-analysis/6uZRRwpvuMP4jKo0O0FxRp",4,1,300535,TRUE,"https://api.spotify.com/v1/tracks/6uZRRwpvuMP4jKo0O0FxRp",FALSE,"Neighborhood (feat. Kent Jamz & Nick Grant)","https://p.scdn.co/mp3-preview/4d39857bb1d00abc01c9be481a994cf6fa6d93b3?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:6uZRRwpvuMP4jKo0O0FxRp","https://open.spotify.com/track/6uZRRwpvuMP4jKo0O0FxRp","Village Days","C#","major","C# major","jazz"
"Terrace Martin","7MNEVabc4cs19CbzAFZmXz","5UgntWXasSNmI0s3O8rS6b","album","2020-12-11",2020,"day",0.486,0.598,6,-8.239,1,0.0734,0.0196,0.146,0.262,0.164,95.891,"58QP6H2WMR2u5Zimb8NIUO","https://api.spotify.com/v1/audio-analysis/58QP6H2WMR2u5Zimb8NIUO",4,1,364490,FALSE,"https://api.spotify.com/v1/tracks/58QP6H2WMR2u5Zimb8NIUO",FALSE,"The Voice of King Nipsey","https://p.scdn.co/mp3-preview/78b3e4ab2f173bb73055896fe4f55de46b5ef8d9?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:58QP6H2WMR2u5Zimb8NIUO","https://open.spotify.com/track/58QP6H2WMR2u5Zimb8NIUO","Village Days","F#","major","F# major","jazz"
"Terrace Martin","7MNEVabc4cs19CbzAFZmXz","5UgntWXasSNmI0s3O8rS6b","album","2020-12-11",2020,"day",0.853,0.443,11,-8.178,0,0.0798,0.0911,1.23e-06,0.103,0.641,107.976,"7Gapsmjj2edcsXzRgpamSl","https://api.spotify.com/v1/audio-analysis/7Gapsmjj2edcsXzRgpamSl",4,1,123941,TRUE,"https://api.spotify.com/v1/tracks/7Gapsmjj2edcsXzRgpamSl",FALSE,"Money Up (feat. Rexx Life Raj)","https://p.scdn.co/mp3-preview/ce7a40a6b54bd364d0dd9f61a87dc9c0a4a3c5aa?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:7Gapsmjj2edcsXzRgpamSl","https://open.spotify.com/track/7Gapsmjj2edcsXzRgpamSl","Village Days","B","minor","B minor","jazz"
"Terrace Martin","7MNEVabc4cs19CbzAFZmXz","5UgntWXasSNmI0s3O8rS6b","album","2020-12-11",2020,"day",0.536,0.469,6,-7.964,1,0.0729,0.238,0.000127,0.118,0.342,89.507,"71rMhullKTdsOSzPwtSwIG","https://api.spotify.com/v1/audio-analysis/71rMhullKTdsOSzPwtSwIG",4,1,284066,FALSE,"https://api.spotify.com/v1/tracks/71rMhullKTdsOSzPwtSwIG",FALSE,"Always On My Mind","https://p.scdn.co/mp3-preview/5f6b79d69d4f1536a9cf6c7752a83c11e744cef5?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:71rMhullKTdsOSzPwtSwIG","https://open.spotify.com/track/71rMhullKTdsOSzPwtSwIG","Village Days","F#","major","F# major","jazz"
"Terrace Martin","7MNEVabc4cs19CbzAFZmXz","5UgntWXasSNmI0s3O8rS6b","album","2020-12-11",2020,"day",0.759,0.482,6,-9.187,0,0.0483,0.000338,0.909,0.111,0.309,91.128,"2Kr5f6jPmbzHE1Fn0jF88E","https://api.spotify.com/v1/audio-analysis/2Kr5f6jPmbzHE1Fn0jF88E",4,1,95866,FALSE,"https://api.spotify.com/v1/tracks/2Kr5f6jPmbzHE1Fn0jF88E",FALSE,"Village Days","https://p.scdn.co/mp3-preview/ec21327483fec243f42419d01fcd738f260ff95b?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:2Kr5f6jPmbzHE1Fn0jF88E","https://open.spotify.com/track/2Kr5f6jPmbzHE1Fn0jF88E","Village Days","F#","minor","F# minor","jazz"
"Terrace Martin","7MNEVabc4cs19CbzAFZmXz","5UgntWXasSNmI0s3O8rS6b","album","2020-12-11",2020,"day",0.684,0.39,8,-9.79,0,0.139,0.479,0.0187,0.12,0.25,120.169,"2GfaVDDO7ynJJOAKiNUDH6","https://api.spotify.com/v1/audio-analysis/2GfaVDDO7ynJJOAKiNUDH6",4,1,243178,FALSE,"https://api.spotify.com/v1/tracks/2GfaVDDO7ynJJOAKiNUDH6",FALSE,"Never Saw It Coming (feat. Zyah Belle & Chachi)","https://p.scdn.co/mp3-preview/71823e89f35d7199efad5200dae795dcdbf9e608?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:2GfaVDDO7ynJJOAKiNUDH6","https://open.spotify.com/track/2GfaVDDO7ynJJOAKiNUDH6","Village Days","G#","minor","G# minor","jazz"
"Terrace Martin","7MNEVabc4cs19CbzAFZmXz","5UgntWXasSNmI0s3O8rS6b","album","2020-12-11",2020,"day",0.307,0.162,1,-10.034,0,0.0306,0.985,0.00571,0.0784,0.0376,84.234,"16z8XJOl7NQo1A6Cb4I8lj","https://api.spotify.com/v1/audio-analysis/16z8XJOl7NQo1A6Cb4I8lj",4,1,236245,FALSE,"https://api.spotify.com/v1/tracks/16z8XJOl7NQo1A6Cb4I8lj",FALSE,"The Christmas Song (feat. Alex Isley)","https://p.scdn.co/mp3-preview/14498e765d2482eb97dd7b3c64b836917acf67bc?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:16z8XJOl7NQo1A6Cb4I8lj","https://open.spotify.com/track/16z8XJOl7NQo1A6Cb4I8lj","Village Days","C#","minor","C# minor","jazz"
"Terrace Martin","7MNEVabc4cs19CbzAFZmXz","6qqa1vvE1Q3qj2k8Gc3iEY","album","2020-10-09",2020,"day",0.544,0.665,8,-7.857,1,0.199,0.556,1.16e-06,0.507,0.48,91.31,"4ImbwgGOqvNnKJADZSI8lP","https://api.spotify.com/v1/audio-analysis/4ImbwgGOqvNnKJADZSI8lP",4,1,239020,TRUE,"https://api.spotify.com/v1/tracks/4ImbwgGOqvNnKJADZSI8lP",FALSE,"Sleepless Nights (feat. Buddy, Reuben Vincent & Phoelix)","https://p.scdn.co/mp3-preview/e0245b8f044fe0c7d3776eb6090bbb1b970c5b91?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:4ImbwgGOqvNnKJADZSI8lP","https://open.spotify.com/track/4ImbwgGOqvNnKJADZSI8lP","Dinner Party: Dessert","G#","major","G# major","jazz"
"Terrace Martin","7MNEVabc4cs19CbzAFZmXz","6qqa1vvE1Q3qj2k8Gc3iEY","album","2020-10-09",2020,"day",0.394,0.641,2,-6.767,1,0.378,0.0551,0.000171,0.254,0.445,176.462,"4bZ7AZNl13T2t5VI6Dzn1m","https://api.spotify.com/v1/audio-analysis/4bZ7AZNl13T2t5VI6Dzn1m",4,1,135160,TRUE,"https://api.spotify.com/v1/tracks/4bZ7AZNl13T2t5VI6Dzn1m",FALSE,"Love You Bad (feat. Malaya & Phoelix)","https://p.scdn.co/mp3-preview/4db020a9aa1ebc14594c1d73ffda799e041efd06?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:4bZ7AZNl13T2t5VI6Dzn1m","https://open.spotify.com/track/4bZ7AZNl13T2t5VI6Dzn1m","Dinner Party: Dessert","D","major","D major","jazz"
"Terrace Martin","7MNEVabc4cs19CbzAFZmXz","6qqa1vvE1Q3qj2k8Gc3iEY","album","2020-10-09",2020,"day",0.616,0.532,11,-9.675,0,0.0789,0.389,5.61e-06,0.124,0.458,92.9,"1G3T5V2s3fKF0jhSjr2ZjQ","https://api.spotify.com/v1/audio-analysis/1G3T5V2s3fKF0jhSjr2ZjQ",4,1,152113,TRUE,"https://api.spotify.com/v1/tracks/1G3T5V2s3fKF0jhSjr2ZjQ",FALSE,"From My Heart And My Soul (feat. Tarriona Tank Ball & Phoelix)","https://p.scdn.co/mp3-preview/204fbb51e74564cbc32628b61a9214502162a111?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:1G3T5V2s3fKF0jhSjr2ZjQ","https://open.spotify.com/track/1G3T5V2s3fKF0jhSjr2ZjQ","Dinner Party: Dessert","B","minor","B minor","jazz"
