"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"The Head And The Heart","0n94vC3S9c3mb2HyNAOcjg","2uPspfPV2yUhwAziXXQCnH","album","2020-06-26",2020,"day",0.315,0.666,0,-5.602,1,0.0296,0.00499,0.000236,0.109,0.24,87.956,"3iDcwzGnqC9PHUUpUKtCML","https://api.spotify.com/v1/audio-analysis/3iDcwzGnqC9PHUUpUKtCML",4,1,314304,FALSE,"https://api.spotify.com/v1/tracks/3iDcwzGnqC9PHUUpUKtCML",FALSE,"Living Mirage","https://p.scdn.co/mp3-preview/7cda9453c290029e5b1fdf0c9b4765fea4c7907c?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:3iDcwzGnqC9PHUUpUKtCML","https://open.spotify.com/track/3iDcwzGnqC9PHUUpUKtCML","Living Mirage: The Complete Recordings","C","major","C major","folk"
"The Head And The Heart","0n94vC3S9c3mb2HyNAOcjg","2uPspfPV2yUhwAziXXQCnH","album","2020-06-26",2020,"day",0.585,0.619,0,-7.04,1,0.0289,0.0951,0,0.079,0.324,86.168,"6D8dGtrEkfd2DCnsTbcxSi","https://api.spotify.com/v1/audio-analysis/6D8dGtrEkfd2DCnsTbcxSi",4,1,234365,FALSE,"https://api.spotify.com/v1/tracks/6D8dGtrEkfd2DCnsTbcxSi",FALSE,"See You Through My Eyes","https://p.scdn.co/mp3-preview/50563892ce3f2b238bbbe2319d2cf9be47010099?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:6D8dGtrEkfd2DCnsTbcxSi","https://open.spotify.com/track/6D8dGtrEkfd2DCnsTbcxSi","Living Mirage: The Complete Recordings","C","major","C major","folk"
"The Head And The Heart","0n94vC3S9c3mb2HyNAOcjg","2uPspfPV2yUhwAziXXQCnH","album","2020-06-26",2020,"day",0.669,0.789,0,-5.134,1,0.052,0.0117,4.72e-06,0.387,0.542,87.57,"3IYVxO2NdfWhHVOc8IUAaO","https://api.spotify.com/v1/audio-analysis/3IYVxO2NdfWhHVOc8IUAaO",4,1,195312,FALSE,"https://api.spotify.com/v1/tracks/3IYVxO2NdfWhHVOc8IUAaO",FALSE,"Missed Connection","https://p.scdn.co/mp3-preview/b480d26141d542f625763c131d89a6e67a0a64fd?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:3IYVxO2NdfWhHVOc8IUAaO","https://open.spotify.com/track/3IYVxO2NdfWhHVOc8IUAaO","Living Mirage: The Complete Recordings","C","major","C major","folk"
"The Head And The Heart","0n94vC3S9c3mb2HyNAOcjg","2uPspfPV2yUhwAziXXQCnH","album","2020-06-26",2020,"day",0.366,0.466,9,-7.031,1,0.0341,0.218,0,0.121,0.359,80.42,"3M1Mzw4na6mKGlfti96P9N","https://api.spotify.com/v1/audio-analysis/3M1Mzw4na6mKGlfti96P9N",4,1,205365,FALSE,"https://api.spotify.com/v1/tracks/3M1Mzw4na6mKGlfti96P9N",FALSE,"Sun Is Rising","https://p.scdn.co/mp3-preview/58407071219b9ac55f1d200acdd29cfe8203ac2e?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:3M1Mzw4na6mKGlfti96P9N","https://open.spotify.com/track/3M1Mzw4na6mKGlfti96P9N","Living Mirage: The Complete Recordings","A","major","A major","folk"
"The Head And The Heart","0n94vC3S9c3mb2HyNAOcjg","2uPspfPV2yUhwAziXXQCnH","album","2020-06-26",2020,"day",0.7,0.703,2,-5.374,1,0.0289,0.0453,0.000284,0.231,0.597,117.935,"4owBrksGX5hhX7rqdAfScg","https://api.spotify.com/v1/audio-analysis/4owBrksGX5hhX7rqdAfScg",4,1,281130,FALSE,"https://api.spotify.com/v1/tracks/4owBrksGX5hhX7rqdAfScg",FALSE,"Glory of Music II","https://p.scdn.co/mp3-preview/6091569a738d5982af02b3a7ca76a58af961fa96?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:4owBrksGX5hhX7rqdAfScg","https://open.spotify.com/track/4owBrksGX5hhX7rqdAfScg","Living Mirage: The Complete Recordings","D","major","D major","folk"
"The Head And The Heart","0n94vC3S9c3mb2HyNAOcjg","2uPspfPV2yUhwAziXXQCnH","album","2020-06-26",2020,"day",0.586,0.54,0,-5.761,1,0.0255,0.192,0,0.127,0.162,82.156,"6ZobTk61mM0Pz9qPNV07p4","https://api.spotify.com/v1/audio-analysis/6ZobTk61mM0Pz9qPNV07p4",4,1,252301,FALSE,"https://api.spotify.com/v1/tracks/6ZobTk61mM0Pz9qPNV07p4",FALSE,"People Need A Melody","https://p.scdn.co/mp3-preview/1bb69e37518c4d88661813be4bf3263e3b9d5d0a?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:6ZobTk61mM0Pz9qPNV07p4","https://open.spotify.com/track/6ZobTk61mM0Pz9qPNV07p4","Living Mirage: The Complete Recordings","C","major","C major","folk"
"The Head And The Heart","0n94vC3S9c3mb2HyNAOcjg","2uPspfPV2yUhwAziXXQCnH","album","2020-06-26",2020,"day",0.642,0.52,9,-7.886,1,0.0387,0.118,0.000509,0.552,0.488,136.014,"6pPT6tA6FQ6Vh7BXHYNlAH","https://api.spotify.com/v1/audio-analysis/6pPT6tA6FQ6Vh7BXHYNlAH",4,1,196055,FALSE,"https://api.spotify.com/v1/tracks/6pPT6tA6FQ6Vh7BXHYNlAH",FALSE,"Honeybee","https://p.scdn.co/mp3-preview/969a46e5ebf83d1d0d04b962dc5297f39706dbb3?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:6pPT6tA6FQ6Vh7BXHYNlAH","https://open.spotify.com/track/6pPT6tA6FQ6Vh7BXHYNlAH","Living Mirage: The Complete Recordings","A","major","A major","folk"
"The Head And The Heart","0n94vC3S9c3mb2HyNAOcjg","2uPspfPV2yUhwAziXXQCnH","album","2020-06-26",2020,"day",0.566,0.536,2,-7.015,1,0.0278,0.00212,0.0423,0.124,0.658,154.967,"0oyCzTHEXxHrteIH6ToOo1","https://api.spotify.com/v1/audio-analysis/0oyCzTHEXxHrteIH6ToOo1",4,1,228217,FALSE,"https://api.spotify.com/v1/tracks/0oyCzTHEXxHrteIH6ToOo1",FALSE,"Brenda","https://p.scdn.co/mp3-preview/ec9092ced39cc1501d7264b6eadda780350fa059?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:0oyCzTHEXxHrteIH6ToOo1","https://open.spotify.com/track/0oyCzTHEXxHrteIH6ToOo1","Living Mirage: The Complete Recordings","D","major","D major","folk"
"The Head And The Heart","0n94vC3S9c3mb2HyNAOcjg","2uPspfPV2yUhwAziXXQCnH","album","2020-06-26",2020,"day",0.411,0.561,10,-8.748,1,0.0314,0.0753,0,0.281,0.351,123.801,"0khIahkzqdqrX4Yt3xz6FO","https://api.spotify.com/v1/audio-analysis/0khIahkzqdqrX4Yt3xz6FO",4,1,279053,FALSE,"https://api.spotify.com/v1/tracks/0khIahkzqdqrX4Yt3xz6FO",FALSE,"Backwards Breathing","https://p.scdn.co/mp3-preview/68c1106fe8c8d95bc2de4b0ff9bfaba9308a9c64?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:0khIahkzqdqrX4Yt3xz6FO","https://open.spotify.com/track/0khIahkzqdqrX4Yt3xz6FO","Living Mirage: The Complete Recordings","A#","major","A# major","folk"
"The Head And The Heart","0n94vC3S9c3mb2HyNAOcjg","2uPspfPV2yUhwAziXXQCnH","album","2020-06-26",2020,"day",0.756,0.724,7,-6.692,1,0.0329,0.00713,9.41e-05,0.118,0.952,123.029,"4b9AxYChbYBBPQQyxliXGw","https://api.spotify.com/v1/audio-analysis/4b9AxYChbYBBPQQyxliXGw",4,1,219873,FALSE,"https://api.spotify.com/v1/tracks/4b9AxYChbYBBPQQyxliXGw",FALSE,"Running Through Hell","https://p.scdn.co/mp3-preview/233db58d921d3a21e5a6f36dda20adfd306fbd2e?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:4b9AxYChbYBBPQQyxliXGw","https://open.spotify.com/track/4b9AxYChbYBBPQQyxliXGw","Living Mirage: The Complete Recordings","G","major","G major","folk"
