"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX","album","2020-09-25",2020,"day",0.205,0.739,6,-13.072,1,0.0546,0.961,0.937,0.339,0.0385,79.988,"4Kt8Z1uo9Y0MXog8Y44ih9","https://api.spotify.com/v1/audio-analysis/4Kt8Z1uo9Y0MXog8Y44ih9",4,1,31045,FALSE,"https://api.spotify.com/v1/tracks/4Kt8Z1uo9Y0MXog8Y44ih9",FALSE,"Chip Chrome","https://p.scdn.co/mp3-preview/201a0deadbd17715b0d3bb1397383e0c637e7027?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:4Kt8Z1uo9Y0MXog8Y44ih9","https://open.spotify.com/track/4Kt8Z1uo9Y0MXog8Y44ih9","Chip Chrome & The Mono-Tones","F#","major","F# major","rock"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX","album","2020-09-25",2020,"day",0.578,0.386,6,-11.464,1,0.0278,0.208,0.0453,0.307,0.569,154.902,"7IL8PSVwLOJxqYne6azxQv","https://api.spotify.com/v1/audio-analysis/7IL8PSVwLOJxqYne6azxQv",4,1,234093,FALSE,"https://api.spotify.com/v1/tracks/7IL8PSVwLOJxqYne6azxQv",FALSE,"Pretty Boy","https://p.scdn.co/mp3-preview/476767cb0a18c446087d3527a07166075d3b385f?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:7IL8PSVwLOJxqYne6azxQv","https://open.spotify.com/track/7IL8PSVwLOJxqYne6azxQv","Chip Chrome & The Mono-Tones","F#","major","F# major","rock"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX","album","2020-09-25",2020,"day",0.568,0.891,0,-5.786,1,0.0376,0.000896,0.000137,0.357,0.522,104.954,"5TUZhrb8UaaA76NhzZax2Z","https://api.spotify.com/v1/audio-analysis/5TUZhrb8UaaA76NhzZax2Z",4,1,190226,FALSE,"https://api.spotify.com/v1/tracks/5TUZhrb8UaaA76NhzZax2Z",FALSE,"Lost in Translation","https://p.scdn.co/mp3-preview/993c1fd332f58a854e095e736b4dd97b04d8044c?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:5TUZhrb8UaaA76NhzZax2Z","https://open.spotify.com/track/5TUZhrb8UaaA76NhzZax2Z","Chip Chrome & The Mono-Tones","C","major","C major","rock"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX","album","2020-09-25",2020,"day",0.662,0.681,11,-8.152,0,0.0315,0.0321,0.139,0.508,0.864,98.004,"4XfI7M5gLwEY84gYiH4RDD","https://api.spotify.com/v1/audio-analysis/4XfI7M5gLwEY84gYiH4RDD",4,1,186306,FALSE,"https://api.spotify.com/v1/tracks/4XfI7M5gLwEY84gYiH4RDD",FALSE,"Devil's Advocate","https://p.scdn.co/mp3-preview/ea28dbcd6d1d37631fe162318edba0fbd36e0869?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:4XfI7M5gLwEY84gYiH4RDD","https://open.spotify.com/track/4XfI7M5gLwEY84gYiH4RDD","Chip Chrome & The Mono-Tones","B","minor","B minor","rock"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX","album","2020-09-25",2020,"day",0.572,0.32,9,-11.841,1,0.0299,0.962,0.00598,0.165,0.627,120.875,"13H872rziuPMTOguuYYBtu","https://api.spotify.com/v1/audio-analysis/13H872rziuPMTOguuYYBtu",4,1,139586,FALSE,"https://api.spotify.com/v1/tracks/13H872rziuPMTOguuYYBtu",FALSE,"Hell or High Water","https://p.scdn.co/mp3-preview/a1f9ba3b53a3347be7fff4b70595694a989bb7aa?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:13H872rziuPMTOguuYYBtu","https://open.spotify.com/track/13H872rziuPMTOguuYYBtu","Chip Chrome & The Mono-Tones","A","major","A major","rock"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX","album","2020-09-25",2020,"day",0.617,0.574,6,-9.768,1,0.0276,0.23,0.0105,0.0983,0.396,91.769,"40iocOzytrqaRn5RbGPDNp","https://api.spotify.com/v1/audio-analysis/40iocOzytrqaRn5RbGPDNp",4,1,208453,FALSE,"https://api.spotify.com/v1/tracks/40iocOzytrqaRn5RbGPDNp",FALSE,"Cherry Flavoured","https://p.scdn.co/mp3-preview/c77aa35535c2f29ae22a6f238353fb27fb4b970b?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:40iocOzytrqaRn5RbGPDNp","https://open.spotify.com/track/40iocOzytrqaRn5RbGPDNp","Chip Chrome & The Mono-Tones","F#","major","F# major","rock"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX","album","2020-09-25",2020,"day",0.788,0.418,5,-12.396,1,0.0303,0.847,0.0144,0.376,0.769,82.018,"2Qt8YTTXdgQva0Vv9VjBlS","https://api.spotify.com/v1/audio-analysis/2Qt8YTTXdgQva0Vv9VjBlS",4,1,73853,FALSE,"https://api.spotify.com/v1/tracks/2Qt8YTTXdgQva0Vv9VjBlS",FALSE,"The Mono-Tones","https://p.scdn.co/mp3-preview/60892344d9fd87486a538be123224bd61ec77e82?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:2Qt8YTTXdgQva0Vv9VjBlS","https://open.spotify.com/track/2Qt8YTTXdgQva0Vv9VjBlS","Chip Chrome & The Mono-Tones","F","major","F major","rock"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX","album","2020-09-25",2020,"day",0.696,0.838,5,-9.299,0,0.0361,0.0621,8.42e-05,0.0967,0.66,139.977,"5uidTQXrmYWTCwfJxPVW90","https://api.spotify.com/v1/audio-analysis/5uidTQXrmYWTCwfJxPVW90",4,1,191120,FALSE,"https://api.spotify.com/v1/tracks/5uidTQXrmYWTCwfJxPVW90",FALSE,"BooHoo","https://p.scdn.co/mp3-preview/4adf2a387a7191de0bf9487ffb79c2cb113f293b?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:5uidTQXrmYWTCwfJxPVW90","https://open.spotify.com/track/5uidTQXrmYWTCwfJxPVW90","Chip Chrome & The Mono-Tones","F","minor","F minor","rock"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX","album","2020-09-25",2020,"day",0.562,0.53,2,-7.665,1,0.0286,0.0226,0.00419,0.106,0.391,122.92,"1iJsVkrrId99kTJSZBrwHJ","https://api.spotify.com/v1/audio-analysis/1iJsVkrrId99kTJSZBrwHJ",4,1,179453,FALSE,"https://api.spotify.com/v1/tracks/1iJsVkrrId99kTJSZBrwHJ",FALSE,"Silver Lining","https://p.scdn.co/mp3-preview/0b5595d1c7002e07dd91ef4a5ff232a8e065dda4?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:1iJsVkrrId99kTJSZBrwHJ","https://open.spotify.com/track/1iJsVkrrId99kTJSZBrwHJ","Chip Chrome & The Mono-Tones","D","major","D major","rock"
"The Neighbourhood","77SW9BnxLY8rJ0RciFqkHh","4uNgt1uQs6wZRm4giB3shX","album","2020-09-25",2020,"day",0.413,0.474,5,-11.472,1,0.0328,0.0419,0.508,0.384,0.446,111.01,"4pJEkzhZY84h8kmPkUhfwC","https://api.spotify.com/v1/audio-analysis/4pJEkzhZY84h8kmPkUhfwC",4,1,296813,FALSE,"https://api.spotify.com/v1/tracks/4pJEkzhZY84h8kmPkUhfwC",FALSE,"Tobacco Sunburst","https://p.scdn.co/mp3-preview/36f074da6a457741cb79d3f158912c0f42e62b80?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:4pJEkzhZY84h8kmPkUhfwC","https://open.spotify.com/track/4pJEkzhZY84h8kmPkUhfwC","Chip Chrome & The Mono-Tones","F","major","F major","rock"
