"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","6swxj0Kz3uftYXdIrnmIEY","album","2020-09-25",2020,"day",0.475,0.987,5,-4.37,1,0.0766,0.0166,0.0239,0.964,0.426,133.137,"5gcJVrB4XI7g31G4WzzHj9","https://api.spotify.com/v1/audio-analysis/5gcJVrB4XI7g31G4WzzHj9",4,1,227346,TRUE,"https://api.spotify.com/v1/tracks/5gcJVrB4XI7g31G4WzzHj9",FALSE,"Start Me Up - Live",NA,1,"track","spotify:track:5gcJVrB4XI7g31G4WzzHj9","https://open.spotify.com/track/5gcJVrB4XI7g31G4WzzHj9","Steel Wheels Live","F","major","F major","rock"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","6swxj0Kz3uftYXdIrnmIEY","album","2020-09-25",2020,"day",0.376,0.969,2,-4.201,1,0.104,0.0298,0.0122,0.967,0.286,76.705,"4EQNhDGHzDUbCKbqIWBmg7","https://api.spotify.com/v1/audio-analysis/4EQNhDGHzDUbCKbqIWBmg7",4,1,207666,FALSE,"https://api.spotify.com/v1/tracks/4EQNhDGHzDUbCKbqIWBmg7",FALSE,"Bitch - Live",NA,2,"track","spotify:track:4EQNhDGHzDUbCKbqIWBmg7","https://open.spotify.com/track/4EQNhDGHzDUbCKbqIWBmg7","Steel Wheels Live","D","major","D major","rock"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","6swxj0Kz3uftYXdIrnmIEY","album","2020-09-25",2020,"day",0.234,0.972,0,-4.372,1,0.0944,0.0342,0.0038,0.97,0.256,157.936,"2xKcihqvKEgrQmpi1S6450","https://api.spotify.com/v1/audio-analysis/2xKcihqvKEgrQmpi1S6450",4,1,227200,FALSE,"https://api.spotify.com/v1/tracks/2xKcihqvKEgrQmpi1S6450",FALSE,"Sad Sad Sad - Live",NA,3,"track","spotify:track:2xKcihqvKEgrQmpi1S6450","https://open.spotify.com/track/2xKcihqvKEgrQmpi1S6450","Steel Wheels Live","C","major","C major","rock"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","6swxj0Kz3uftYXdIrnmIEY","album","2020-09-25",2020,"day",0.347,0.98,5,-4.62,0,0.201,0.0815,0,0.974,0.211,124.126,"051D5qOJnz0uPpEMjO2sp9","https://api.spotify.com/v1/audio-analysis/051D5qOJnz0uPpEMjO2sp9",4,1,260533,FALSE,"https://api.spotify.com/v1/tracks/051D5qOJnz0uPpEMjO2sp9",FALSE,"Undercover Of The Night - Live",NA,4,"track","spotify:track:051D5qOJnz0uPpEMjO2sp9","https://open.spotify.com/track/051D5qOJnz0uPpEMjO2sp9","Steel Wheels Live","F","minor","F minor","rock"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","6swxj0Kz3uftYXdIrnmIEY","album","2020-09-25",2020,"day",0.391,0.963,4,-4.096,0,0.0907,0.0782,1.13e-06,0.964,0.309,121.483,"2PAPn72RtmfU1nEwxTGZa2","https://api.spotify.com/v1/audio-analysis/2PAPn72RtmfU1nEwxTGZa2",4,1,273680,FALSE,"https://api.spotify.com/v1/tracks/2PAPn72RtmfU1nEwxTGZa2",FALSE,"Harlem Shuffle - Live",NA,5,"track","spotify:track:2PAPn72RtmfU1nEwxTGZa2","https://open.spotify.com/track/2PAPn72RtmfU1nEwxTGZa2","Steel Wheels Live","E","minor","E minor","rock"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","6swxj0Kz3uftYXdIrnmIEY","album","2020-09-25",2020,"day",0.344,0.966,4,-4.091,1,0.0815,0.0606,9.58e-06,0.968,0.479,119.526,"32n8UlX6aTm9dqmSWTnebA","https://api.spotify.com/v1/audio-analysis/32n8UlX6aTm9dqmSWTnebA",4,1,258253,FALSE,"https://api.spotify.com/v1/tracks/32n8UlX6aTm9dqmSWTnebA",FALSE,"Tumbling Dice - Live",NA,6,"track","spotify:track:32n8UlX6aTm9dqmSWTnebA","https://open.spotify.com/track/32n8UlX6aTm9dqmSWTnebA","Steel Wheels Live","E","major","E major","rock"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","6swxj0Kz3uftYXdIrnmIEY","album","2020-09-25",2020,"day",0.435,0.978,9,-4.532,0,0.114,0.0581,0.0169,0.968,0.337,122.82,"2lwiZP8AlV3sCRijmzTLiL","https://api.spotify.com/v1/audio-analysis/2lwiZP8AlV3sCRijmzTLiL",4,1,403226,FALSE,"https://api.spotify.com/v1/tracks/2lwiZP8AlV3sCRijmzTLiL",FALSE,"Miss You - Live",NA,7,"track","spotify:track:2lwiZP8AlV3sCRijmzTLiL","https://open.spotify.com/track/2lwiZP8AlV3sCRijmzTLiL","Steel Wheels Live","A","minor","A minor","rock"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","6swxj0Kz3uftYXdIrnmIEY","album","2020-09-25",2020,"day",0.402,0.956,0,-5.325,1,0.134,0.0678,3.63e-05,0.969,0.362,136.785,"51GGNalfxRRdno7Ou39AEj","https://api.spotify.com/v1/audio-analysis/51GGNalfxRRdno7Ou39AEj",4,1,299373,FALSE,"https://api.spotify.com/v1/tracks/51GGNalfxRRdno7Ou39AEj",FALSE,"Terrifying - Live",NA,8,"track","spotify:track:51GGNalfxRRdno7Ou39AEj","https://open.spotify.com/track/51GGNalfxRRdno7Ou39AEj","Steel Wheels Live","C","major","C major","rock"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","6swxj0Kz3uftYXdIrnmIEY","album","2020-09-25",2020,"day",0.359,0.875,0,-5.184,1,0.0474,0.659,1.19e-05,0.961,0.526,108.143,"1my92Wv8c2WWZCj8XzcMKm","https://api.spotify.com/v1/audio-analysis/1my92Wv8c2WWZCj8XzcMKm",4,1,227746,FALSE,"https://api.spotify.com/v1/tracks/1my92Wv8c2WWZCj8XzcMKm",FALSE,"Ruby Tuesday - Live",NA,9,"track","spotify:track:1my92Wv8c2WWZCj8XzcMKm","https://open.spotify.com/track/1my92Wv8c2WWZCj8XzcMKm","Steel Wheels Live","C","major","C major","rock"
"The Rolling Stones","22bE4uQ6baNwSHPVcDxLCe","6swxj0Kz3uftYXdIrnmIEY","album","2020-09-25",2020,"day",0.254,0.95,4,-4.915,1,0.116,0.406,0.00073,0.978,0.292,92.903,"6BlnVRJ20AW1strZmHH3NN","https://api.spotify.com/v1/audio-analysis/6BlnVRJ20AW1strZmHH3NN",4,1,361906,FALSE,"https://api.spotify.com/v1/tracks/6BlnVRJ20AW1strZmHH3NN",FALSE,"Salt Of The Earth - Live",NA,10,"track","spotify:track:6BlnVRJ20AW1strZmHH3NN","https://open.spotify.com/track/6BlnVRJ20AW1strZmHH3NN","Steel Wheels Live","E","major","E major","rock"
