"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.523,0.56,5,-9.423,0,0.145,0.0532,0.83,0.0981,0.151,96.167,"47w6S27JF4Zvrz1Wd6R66Z","https://api.spotify.com/v1/audio-analysis/47w6S27JF4Zvrz1Wd6R66Z",4,1,230470,FALSE,"https://api.spotify.com/v1/tracks/47w6S27JF4Zvrz1Wd6R66Z",FALSE,"What Kinda Music",NA,1,"track","spotify:track:47w6S27JF4Zvrz1Wd6R66Z","https://open.spotify.com/track/47w6S27JF4Zvrz1Wd6R66Z","What Kinda Music","F","minor","F minor","jazz"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.414,0.478,10,-11.783,0,0.0509,0.322,0.396,0.0773,0.129,152.05,"2lXFtsU8naRn2mC0DACJEl","https://api.spotify.com/v1/audio-analysis/2lXFtsU8naRn2mC0DACJEl",4,1,282408,FALSE,"https://api.spotify.com/v1/tracks/2lXFtsU8naRn2mC0DACJEl",FALSE,"Festival",NA,2,"track","spotify:track:2lXFtsU8naRn2mC0DACJEl","https://open.spotify.com/track/2lXFtsU8naRn2mC0DACJEl","What Kinda Music","A#","minor","A# minor","jazz"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.729,0.571,11,-9.188,0,0.0869,0.0774,0.213,0.0994,0.582,81.486,"5TgZ7lOUugOdabBcD9a6ud","https://api.spotify.com/v1/audio-analysis/5TgZ7lOUugOdabBcD9a6ud",4,1,300990,TRUE,"https://api.spotify.com/v1/tracks/5TgZ7lOUugOdabBcD9a6ud",FALSE,"Nightrider",NA,3,"track","spotify:track:5TgZ7lOUugOdabBcD9a6ud","https://open.spotify.com/track/5TgZ7lOUugOdabBcD9a6ud","What Kinda Music","B","minor","B minor","jazz"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.533,0.487,4,-8.79,0,0.052,0.0458,0.833,0.113,0.339,141.427,"4Goj7amQLl2PiPYaiB0VlV","https://api.spotify.com/v1/audio-analysis/4Goj7amQLl2PiPYaiB0VlV",3,1,249427,FALSE,"https://api.spotify.com/v1/tracks/4Goj7amQLl2PiPYaiB0VlV",FALSE,"Tidal Wave",NA,4,"track","spotify:track:4Goj7amQLl2PiPYaiB0VlV","https://open.spotify.com/track/4Goj7amQLl2PiPYaiB0VlV","What Kinda Music","E","minor","E minor","jazz"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.485,0.636,11,-8.75,0,0.034,0.000374,0.563,0.211,0.233,95.199,"5oEhWt6RfUHSBiSfZVnymh","https://api.spotify.com/v1/audio-analysis/5oEhWt6RfUHSBiSfZVnymh",4,1,84920,FALSE,"https://api.spotify.com/v1/tracks/5oEhWt6RfUHSBiSfZVnymh",FALSE,"Sensational",NA,5,"track","spotify:track:5oEhWt6RfUHSBiSfZVnymh","https://open.spotify.com/track/5oEhWt6RfUHSBiSfZVnymh","What Kinda Music","B","minor","B minor","jazz"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.51,0.456,2,-12.643,1,0.0485,0.282,0.0979,0.164,0.283,96.279,"28wERzXJWMb4Qx1bf9EXyW","https://api.spotify.com/v1/audio-analysis/28wERzXJWMb4Qx1bf9EXyW",4,1,161894,FALSE,"https://api.spotify.com/v1/tracks/28wERzXJWMb4Qx1bf9EXyW",FALSE,"The Real",NA,6,"track","spotify:track:28wERzXJWMb4Qx1bf9EXyW","https://open.spotify.com/track/28wERzXJWMb4Qx1bf9EXyW","What Kinda Music","D","major","D major","jazz"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.488,0.567,1,-9.875,1,0.1,0.0307,0.842,0.0896,0.308,138.522,"6yvTddeHmEiYG7FN8a5frz","https://api.spotify.com/v1/audio-analysis/6yvTddeHmEiYG7FN8a5frz",4,1,318939,FALSE,"https://api.spotify.com/v1/tracks/6yvTddeHmEiYG7FN8a5frz",FALSE,"Lift Off",NA,7,"track","spotify:track:6yvTddeHmEiYG7FN8a5frz","https://open.spotify.com/track/6yvTddeHmEiYG7FN8a5frz","What Kinda Music","C#","major","C# major","jazz"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.598,0.666,2,-11.111,1,0.0658,0.807,0.916,0.0994,0.417,122.46,"4xWLo3R0jjTVOdmtjC5MKI","https://api.spotify.com/v1/audio-analysis/4xWLo3R0jjTVOdmtjC5MKI",4,1,241762,FALSE,"https://api.spotify.com/v1/tracks/4xWLo3R0jjTVOdmtjC5MKI",FALSE,"I Did It For You",NA,8,"track","spotify:track:4xWLo3R0jjTVOdmtjC5MKI","https://open.spotify.com/track/4xWLo3R0jjTVOdmtjC5MKI","What Kinda Music","D","major","D major","jazz"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.651,0.64,9,-8.386,0,0.0866,0.656,0.391,0.151,0.646,91.087,"39WFZVKifA8Fl2TZI2kp0S","https://api.spotify.com/v1/audio-analysis/39WFZVKifA8Fl2TZI2kp0S",4,1,240330,FALSE,"https://api.spotify.com/v1/tracks/39WFZVKifA8Fl2TZI2kp0S",FALSE,"Last 100",NA,9,"track","spotify:track:39WFZVKifA8Fl2TZI2kp0S","https://open.spotify.com/track/39WFZVKifA8Fl2TZI2kp0S","What Kinda Music","A","minor","A minor","jazz"
"Tom Misch","1uiEZYehlNivdK3iQyAbye","6iOCv7oGL5sGi2aVnRz2BI","album","2020-04-24",2020,"day",0.581,0.622,9,-10.681,0,0.0726,0.299,0.728,0.224,0.286,98.483,"1vzqTU4KJrKhezhPgZkjTr","https://api.spotify.com/v1/audio-analysis/1vzqTU4KJrKhezhPgZkjTr",4,1,210093,FALSE,"https://api.spotify.com/v1/tracks/1vzqTU4KJrKhezhPgZkjTr",FALSE,"Kyiv",NA,10,"track","spotify:track:1vzqTU4KJrKhezhPgZkjTr","https://open.spotify.com/track/1vzqTU4KJrKhezhPgZkjTr","What Kinda Music","A","minor","A minor","jazz"
