"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Tory Lanez","2jku7tDXc6XoB6MO2hFuqg","0ccEYmcKK8UKt5zZ0lGgJ7","album","2021-03-05",2021,"day",0.53,0.517,5,-9.253,0,0.399,0.387,0,0.176,0.381,137.554,"4sMmYKC0ot3GTbl2RzHw7T","https://api.spotify.com/v1/audio-analysis/4sMmYKC0ot3GTbl2RzHw7T",4,1,326813,TRUE,"https://api.spotify.com/v1/tracks/4sMmYKC0ot3GTbl2RzHw7T",FALSE,"And This is Just The Intro","https://p.scdn.co/mp3-preview/f40b56554e43eb9dda2b50fc231e4465b0711882?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:4sMmYKC0ot3GTbl2RzHw7T","https://open.spotify.com/track/4sMmYKC0ot3GTbl2RzHw7T","PLAYBOY","F","minor","F minor","rap"
"Tory Lanez","2jku7tDXc6XoB6MO2hFuqg","0ccEYmcKK8UKt5zZ0lGgJ7","album","2021-03-05",2021,"day",0.442,0.542,5,-9.178,0,0.465,0.114,0,0.588,0.629,76.027,"0CoqTrfGDrhxnqG1S7i9Zd","https://api.spotify.com/v1/audio-analysis/0CoqTrfGDrhxnqG1S7i9Zd",4,1,250546,TRUE,"https://api.spotify.com/v1/tracks/0CoqTrfGDrhxnqG1S7i9Zd",FALSE,"Extravagant Bullshit//Nunchucks","https://p.scdn.co/mp3-preview/ed316b70c54640a6316198fa2b887abd47133deb?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:0CoqTrfGDrhxnqG1S7i9Zd","https://open.spotify.com/track/0CoqTrfGDrhxnqG1S7i9Zd","PLAYBOY","F","minor","F minor","rap"
"Tory Lanez","2jku7tDXc6XoB6MO2hFuqg","0ccEYmcKK8UKt5zZ0lGgJ7","album","2021-03-05",2021,"day",0.585,0.593,9,-9,1,0.552,0.512,0,0.237,0.45,120.209,"6pWgbMjnWk0kaOW6VK7qVQ","https://api.spotify.com/v1/audio-analysis/6pWgbMjnWk0kaOW6VK7qVQ",4,1,195040,TRUE,"https://api.spotify.com/v1/tracks/6pWgbMjnWk0kaOW6VK7qVQ",FALSE,"H.E.R.//Are You Dumb","https://p.scdn.co/mp3-preview/557c7975f4c9a797e7ab86c5e49f46015438d24e?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:6pWgbMjnWk0kaOW6VK7qVQ","https://open.spotify.com/track/6pWgbMjnWk0kaOW6VK7qVQ","PLAYBOY","A","major","A major","rap"
"Tory Lanez","2jku7tDXc6XoB6MO2hFuqg","0ccEYmcKK8UKt5zZ0lGgJ7","album","2021-03-05",2021,"day",0.521,0.368,6,-9.533,1,0.177,0.468,0,0.138,0.607,123.423,"1eW4XynQ3uk7Xi01hAzedv","https://api.spotify.com/v1/audio-analysis/1eW4XynQ3uk7Xi01hAzedv",4,1,178546,TRUE,"https://api.spotify.com/v1/tracks/1eW4XynQ3uk7Xi01hAzedv",FALSE,"Distance","https://p.scdn.co/mp3-preview/f2097cb7e19f8c240cf586fd499d8cf094aaeef4?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:1eW4XynQ3uk7Xi01hAzedv","https://open.spotify.com/track/1eW4XynQ3uk7Xi01hAzedv","PLAYBOY","F#","major","F# major","rap"
"Tory Lanez","2jku7tDXc6XoB6MO2hFuqg","0ccEYmcKK8UKt5zZ0lGgJ7","album","2021-03-05",2021,"day",0.575,0.494,8,-9.184,1,0.232,0.513,0,0.117,0.329,62.508,"7l09cNteUmR1IHXZRLWaAE","https://api.spotify.com/v1/audio-analysis/7l09cNteUmR1IHXZRLWaAE",4,1,96840,TRUE,"https://api.spotify.com/v1/tracks/7l09cNteUmR1IHXZRLWaAE",FALSE,"...The Make Up","https://p.scdn.co/mp3-preview/4b4dd4acdae220b0108f94983816488ca9a4090e?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:7l09cNteUmR1IHXZRLWaAE","https://open.spotify.com/track/7l09cNteUmR1IHXZRLWaAE","PLAYBOY","G#","major","G# major","rap"
"Tory Lanez","2jku7tDXc6XoB6MO2hFuqg","0ccEYmcKK8UKt5zZ0lGgJ7","album","2021-03-05",2021,"day",0.571,0.691,5,-8.137,0,0.216,0.271,0,0.297,0.5,81.091,"1ZqvVE8uiqOxtJ2E8FLl8x","https://api.spotify.com/v1/audio-analysis/1ZqvVE8uiqOxtJ2E8FLl8x",4,1,268946,TRUE,"https://api.spotify.com/v1/tracks/1ZqvVE8uiqOxtJ2E8FLl8x",FALSE,"Lady of Neptune","https://p.scdn.co/mp3-preview/3f57ae69f521e1d578e3aa26cf83d770ad360966?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:1ZqvVE8uiqOxtJ2E8FLl8x","https://open.spotify.com/track/1ZqvVE8uiqOxtJ2E8FLl8x","PLAYBOY","F","minor","F minor","rap"
"Tory Lanez","2jku7tDXc6XoB6MO2hFuqg","0ccEYmcKK8UKt5zZ0lGgJ7","album","2021-03-05",2021,"day",0.661,0.563,0,-10.39,0,0.252,0.0404,1.01e-06,0.0823,0.78,179.957,"7D60mvrq5guYFUbt84FeVk","https://api.spotify.com/v1/audio-analysis/7D60mvrq5guYFUbt84FeVk",4,1,254666,TRUE,"https://api.spotify.com/v1/tracks/7D60mvrq5guYFUbt84FeVk",FALSE,"Feels (feat. Chris Brown)","https://p.scdn.co/mp3-preview/0c2ff41fcb67bb3fee218609cc39d5259a3dc748?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:7D60mvrq5guYFUbt84FeVk","https://open.spotify.com/track/7D60mvrq5guYFUbt84FeVk","PLAYBOY","C","minor","C minor","rap"
"Tory Lanez","2jku7tDXc6XoB6MO2hFuqg","0ccEYmcKK8UKt5zZ0lGgJ7","album","2021-03-05",2021,"day",0.494,0.347,11,-10.728,0,0.0629,0.589,0,0.0876,0.4,97.003,"2ASsBav3zKycGO9YcQj13u","https://api.spotify.com/v1/audio-analysis/2ASsBav3zKycGO9YcQj13u",3,1,207693,TRUE,"https://api.spotify.com/v1/tracks/2ASsBav3zKycGO9YcQj13u",FALSE,"Deceiving Eve","https://p.scdn.co/mp3-preview/8bfeb73e7ad6930a045356f496b2fa3f7f847372?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:2ASsBav3zKycGO9YcQj13u","https://open.spotify.com/track/2ASsBav3zKycGO9YcQj13u","PLAYBOY","B","minor","B minor","rap"
"Tory Lanez","2jku7tDXc6XoB6MO2hFuqg","0ccEYmcKK8UKt5zZ0lGgJ7","album","2021-03-05",2021,"day",0.509,0.435,4,-10.231,0,0.0812,0.324,2.28e-06,0.0989,0.222,75.2,"0ZHLqpysyyJil6TlEJAZY9","https://api.spotify.com/v1/audio-analysis/0ZHLqpysyyJil6TlEJAZY9",4,1,146000,TRUE,"https://api.spotify.com/v1/tracks/0ZHLqpysyyJil6TlEJAZY9",FALSE,"Y.D.L.R.","https://p.scdn.co/mp3-preview/9421a2bd87f13c0e6bb819df1a1befa63e68de4a?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:0ZHLqpysyyJil6TlEJAZY9","https://open.spotify.com/track/0ZHLqpysyyJil6TlEJAZY9","PLAYBOY","E","minor","E minor","rap"
"Tory Lanez","2jku7tDXc6XoB6MO2hFuqg","0ccEYmcKK8UKt5zZ0lGgJ7","album","2021-03-05",2021,"day",0.499,0.616,1,-6.519,0,0.175,0.537,0,0.18,0.387,121.897,"4ip1njmckv1TSQNItprC6M","https://api.spotify.com/v1/audio-analysis/4ip1njmckv1TSQNItprC6M",4,1,234360,TRUE,"https://api.spotify.com/v1/tracks/4ip1njmckv1TSQNItprC6M",FALSE,"The Serve (It) Anthem","https://p.scdn.co/mp3-preview/59cd04f7ca3e8aa5861d273169c0cd8dabf245b2?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:4ip1njmckv1TSQNItprC6M","https://open.spotify.com/track/4ip1njmckv1TSQNItprC6M","PLAYBOY","C#","minor","C# minor","rap"
