"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Travis Barker","4exLIFE8sISLr28sqG1qNX","3Y64kUPdUy17zHslmhYniR","album","2020-10-16",2020,"day",0.741,0.483,0,-7.491,1,0.42,0.355,2.55e-05,0.12,0.308,149.962,"6eD9Y3wojBXEszkxaD8Qqr","https://api.spotify.com/v1/audio-analysis/6eD9Y3wojBXEszkxaD8Qqr",4,1,195082,TRUE,"https://api.spotify.com/v1/tracks/6eD9Y3wojBXEszkxaD8Qqr",FALSE,"Friends","https://p.scdn.co/mp3-preview/367c0ace8459c92649ae07572366045bf3582080?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:6eD9Y3wojBXEszkxaD8Qqr","https://open.spotify.com/track/6eD9Y3wojBXEszkxaD8Qqr","Might Not Make It","C","major","C major","rock"
"Travis Barker","4exLIFE8sISLr28sqG1qNX","3Y64kUPdUy17zHslmhYniR","album","2020-10-16",2020,"day",0.775,0.607,7,-6.011,1,0.0519,0.0692,0.00178,0.107,0.281,157.968,"7AsGB0lHuuPf07kiQURb8M","https://api.spotify.com/v1/audio-analysis/7AsGB0lHuuPf07kiQURb8M",4,1,199000,TRUE,"https://api.spotify.com/v1/tracks/7AsGB0lHuuPf07kiQURb8M",FALSE,"Paper","https://p.scdn.co/mp3-preview/369aae7830397261d75f8051dc65591583de8b79?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:7AsGB0lHuuPf07kiQURb8M","https://open.spotify.com/track/7AsGB0lHuuPf07kiQURb8M","Might Not Make It","G","major","G major","rock"
"Travis Barker","4exLIFE8sISLr28sqG1qNX","3Y64kUPdUy17zHslmhYniR","album","2020-10-16",2020,"day",0.793,0.353,1,-14.382,1,0.271,0.0714,0.000653,0.0958,0.263,147.104,"3vrbsrrfkYGX6TR5ZeBbwU","https://api.spotify.com/v1/audio-analysis/3vrbsrrfkYGX6TR5ZeBbwU",4,1,197592,TRUE,"https://api.spotify.com/v1/tracks/3vrbsrrfkYGX6TR5ZeBbwU",FALSE,"Big Dripper","https://p.scdn.co/mp3-preview/e27e56781fa30d60620c17a5144970c79867b299?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:3vrbsrrfkYGX6TR5ZeBbwU","https://open.spotify.com/track/3vrbsrrfkYGX6TR5ZeBbwU","Might Not Make It","C#","major","C# major","rock"
"Travis Barker","4exLIFE8sISLr28sqG1qNX","3Y64kUPdUy17zHslmhYniR","album","2020-10-16",2020,"day",0.876,0.817,0,-5.403,1,0.148,0.152,0.0188,0.0917,0.817,154.957,"7zc1cB5y2KzJrLa7kGfv5J","https://api.spotify.com/v1/audio-analysis/7zc1cB5y2KzJrLa7kGfv5J",4,1,174471,TRUE,"https://api.spotify.com/v1/tracks/7zc1cB5y2KzJrLa7kGfv5J",FALSE,"Killer","https://p.scdn.co/mp3-preview/218ad1be46359272eb4ba015b4c52987b54b661c?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:7zc1cB5y2KzJrLa7kGfv5J","https://open.spotify.com/track/7zc1cB5y2KzJrLa7kGfv5J","Might Not Make It","C","major","C major","rock"
"Travis Barker","4exLIFE8sISLr28sqG1qNX","3Y64kUPdUy17zHslmhYniR","album","2020-10-16",2020,"day",0.943,0.292,10,-12.798,0,0.423,0.0208,0.000134,0.219,0.228,98.015,"6LMZbXOaFRt26ZdazG0nNM","https://api.spotify.com/v1/audio-analysis/6LMZbXOaFRt26ZdazG0nNM",4,1,176378,TRUE,"https://api.spotify.com/v1/tracks/6LMZbXOaFRt26ZdazG0nNM",FALSE,"Doeburger","https://p.scdn.co/mp3-preview/6a8afcd5bbe728387ccef5663a75887c04c23eb1?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:6LMZbXOaFRt26ZdazG0nNM","https://open.spotify.com/track/6LMZbXOaFRt26ZdazG0nNM","Might Not Make It","A#","minor","A# minor","rock"
"Travis Barker","4exLIFE8sISLr28sqG1qNX","3Y64kUPdUy17zHslmhYniR","album","2020-10-16",2020,"day",0.832,0.547,2,-8.469,1,0.172,0.345,2.84e-05,0.0847,0.46,81.002,"655qrO8kqePbhYFQnSFvx2","https://api.spotify.com/v1/audio-analysis/655qrO8kqePbhYFQnSFvx2",4,1,180793,TRUE,"https://api.spotify.com/v1/tracks/655qrO8kqePbhYFQnSFvx2",FALSE,"Snow Globe","https://p.scdn.co/mp3-preview/89f6bda9d1600c26dbc5e81431c193696c953fc4?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:655qrO8kqePbhYFQnSFvx2","https://open.spotify.com/track/655qrO8kqePbhYFQnSFvx2","Might Not Make It","D","major","D major","rock"
"Travis Barker","4exLIFE8sISLr28sqG1qNX","3Y64kUPdUy17zHslmhYniR","album","2020-10-16",2020,"day",0.511,0.522,4,-9.397,0,0.415,0.404,0,0.143,0.378,83.041,"7aUmniOp6LjhuZJm1CTGEC","https://api.spotify.com/v1/audio-analysis/7aUmniOp6LjhuZJm1CTGEC",4,1,164884,TRUE,"https://api.spotify.com/v1/tracks/7aUmniOp6LjhuZJm1CTGEC",FALSE,"Taste The Rainbow","https://p.scdn.co/mp3-preview/a42dab38b51ebd62d6262f95ebb10d2b90546907?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:7aUmniOp6LjhuZJm1CTGEC","https://open.spotify.com/track/7aUmniOp6LjhuZJm1CTGEC","Might Not Make It","E","minor","E minor","rock"
"Travis Barker","4exLIFE8sISLr28sqG1qNX","47dB9HchmU1kBIi8J5OyeU","album","2017-03-10",2017,"day",0.732,0.487,7,-13.599,1,0.0358,0.0017,0.967,0.0601,0.464,91.549,"4BoOIWSWJjSYbaNUzO7yD6","https://api.spotify.com/v1/audio-analysis/4BoOIWSWJjSYbaNUzO7yD6",4,1,70819,FALSE,"https://api.spotify.com/v1/tracks/4BoOIWSWJjSYbaNUzO7yD6",FALSE,"Intro","https://p.scdn.co/mp3-preview/3af4cb147693565576ae2a98555f7e1078d95b95?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:4BoOIWSWJjSYbaNUzO7yD6","https://open.spotify.com/track/4BoOIWSWJjSYbaNUzO7yD6","RAWTHER","G","major","G major","rock"
"Travis Barker","4exLIFE8sISLr28sqG1qNX","47dB9HchmU1kBIi8J5OyeU","album","2017-03-10",2017,"day",0.519,0.823,5,-9.826,0,0.336,0.103,0,0.0565,0.689,169.862,"4O2ftzKtUkBHPVLTsRTJQN","https://api.spotify.com/v1/audio-analysis/4O2ftzKtUkBHPVLTsRTJQN",4,1,169404,TRUE,"https://api.spotify.com/v1/tracks/4O2ftzKtUkBHPVLTsRTJQN",FALSE,"Goin Down","https://p.scdn.co/mp3-preview/91533a985f29ca23a5bb8ff39977d00d0635c7d1?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:4O2ftzKtUkBHPVLTsRTJQN","https://open.spotify.com/track/4O2ftzKtUkBHPVLTsRTJQN","RAWTHER","F","minor","F minor","rock"
"Travis Barker","4exLIFE8sISLr28sqG1qNX","47dB9HchmU1kBIi8J5OyeU","album","2017-03-10",2017,"day",0.396,0.858,5,-8.402,1,0.259,0.00138,0,0.635,0.705,176.11,"4dEihzjDLcrI5i4FdPxhL3","https://api.spotify.com/v1/audio-analysis/4dEihzjDLcrI5i4FdPxhL3",4,1,236618,TRUE,"https://api.spotify.com/v1/tracks/4dEihzjDLcrI5i4FdPxhL3",FALSE,"Voldemort","https://p.scdn.co/mp3-preview/0b772ec06ce081db341079f9924d477dbcd31a76?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:4dEihzjDLcrI5i4FdPxhL3","https://open.spotify.com/track/4dEihzjDLcrI5i4FdPxhL3","RAWTHER","F","major","F major","rock"
