"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Travis Scott","0Y5tJX1MQlPlqiwlOH1tJY","1Sf8GsXG32t0jNrX11xqWx","album","2019-12-27",2019,"day",0.559,0.491,2,-6.406,0,0.0346,0.0567,0,0.0992,0.114,153.131,"7h0d2h0fUmzbs7zeFigJPn","https://api.spotify.com/v1/audio-analysis/7h0d2h0fUmzbs7zeFigJPn",4,1,244873,TRUE,"https://api.spotify.com/v1/tracks/7h0d2h0fUmzbs7zeFigJPn",FALSE,"HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX","https://p.scdn.co/mp3-preview/d678bd84e5fb4d1fd2e59ad7c17b9a9b00993771?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:7h0d2h0fUmzbs7zeFigJPn","https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn","JACKBOYS","D","minor","D minor","rap"
"Travis Scott","0Y5tJX1MQlPlqiwlOH1tJY","1Sf8GsXG32t0jNrX11xqWx","album","2019-12-27",2019,"day",0.413,0.13,0,-25.166,0,0.0336,0.9,0.82,0.111,0.0676,123.342,"62zKJrpbLxz6InR3tGyr7o","https://api.spotify.com/v1/audio-analysis/62zKJrpbLxz6InR3tGyr7o",1,1,46836,TRUE,"https://api.spotify.com/v1/tracks/62zKJrpbLxz6InR3tGyr7o",FALSE,"JACKBOYS","https://p.scdn.co/mp3-preview/514abf9bb76041d6e54d30b64adac834c186cac0?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:62zKJrpbLxz6InR3tGyr7o","https://open.spotify.com/track/62zKJrpbLxz6InR3tGyr7o","JACKBOYS","C","minor","C minor","rap"
"Travis Scott","0Y5tJX1MQlPlqiwlOH1tJY","1Sf8GsXG32t0jNrX11xqWx","album","2019-12-27",2019,"day",0.859,0.6,7,-4.63,0,0.301,0.071,0,0.353,0.568,123.017,"6uJONCdr2rC65BNmCnTBWK","https://api.spotify.com/v1/audio-analysis/6uJONCdr2rC65BNmCnTBWK",4,1,244760,TRUE,"https://api.spotify.com/v1/tracks/6uJONCdr2rC65BNmCnTBWK",FALSE,"GANG GANG","https://p.scdn.co/mp3-preview/f78bade3787d173737caff886bbcced79b699523?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:6uJONCdr2rC65BNmCnTBWK","https://open.spotify.com/track/6uJONCdr2rC65BNmCnTBWK","JACKBOYS","G","minor","G minor","rap"
"Travis Scott","0Y5tJX1MQlPlqiwlOH1tJY","1Sf8GsXG32t0jNrX11xqWx","album","2019-12-27",2019,"day",0.75,0.789,2,-4.578,1,0.108,0.253,0,0.129,0.673,147.957,"7LGWmZaoS7jZJ5tEi9EcDi","https://api.spotify.com/v1/audio-analysis/7LGWmZaoS7jZJ5tEi9EcDi",4,1,157133,TRUE,"https://api.spotify.com/v1/tracks/7LGWmZaoS7jZJ5tEi9EcDi",FALSE,"HAD ENOUGH (feat. Quavo & Offset)","https://p.scdn.co/mp3-preview/4bef0db7580beb31278728d1c50c4f0c2c655de4?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:7LGWmZaoS7jZJ5tEi9EcDi","https://open.spotify.com/track/7LGWmZaoS7jZJ5tEi9EcDi","JACKBOYS","D","major","D major","rap"
"Travis Scott","0Y5tJX1MQlPlqiwlOH1tJY","1Sf8GsXG32t0jNrX11xqWx","album","2019-12-27",2019,"day",0.802,0.591,8,-4.895,1,0.225,0.0104,0,0.196,0.309,139.864,"6gi6y1xwmVszDWkUqab1qw","https://api.spotify.com/v1/audio-analysis/6gi6y1xwmVszDWkUqab1qw",4,1,157712,TRUE,"https://api.spotify.com/v1/tracks/6gi6y1xwmVszDWkUqab1qw",FALSE,"OUT WEST (feat. Young Thug)","https://p.scdn.co/mp3-preview/e27985662ccbc644b64f49042d3d2b73b0bfc4e4?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:6gi6y1xwmVszDWkUqab1qw","https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw","JACKBOYS","G#","major","G# major","rap"
"Travis Scott","0Y5tJX1MQlPlqiwlOH1tJY","1Sf8GsXG32t0jNrX11xqWx","album","2019-12-27",2019,"day",0.643,0.594,9,-5.191,0,0.0312,0.0695,1.46e-05,0.115,0.195,118.037,"4AO1XhrgJczQ9bNVxdfKQe","https://api.spotify.com/v1/audio-analysis/4AO1XhrgJczQ9bNVxdfKQe",4,1,250141,TRUE,"https://api.spotify.com/v1/tracks/4AO1XhrgJczQ9bNVxdfKQe",FALSE,"WHAT TO DO? (feat. Don Toliver)","https://p.scdn.co/mp3-preview/11824d54bdbd443226142c384d72c80b82e224e5?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:4AO1XhrgJczQ9bNVxdfKQe","https://open.spotify.com/track/4AO1XhrgJczQ9bNVxdfKQe","JACKBOYS","A","minor","A minor","rap"
"Travis Scott","0Y5tJX1MQlPlqiwlOH1tJY","1Sf8GsXG32t0jNrX11xqWx","album","2019-12-27",2019,"day",0.594,0.676,2,-5.808,1,0.344,0.135,0,0.163,0.472,143.477,"40mjsnRjCpycdUw3xhS20g","https://api.spotify.com/v1/audio-analysis/40mjsnRjCpycdUw3xhS20g",4,1,181144,TRUE,"https://api.spotify.com/v1/tracks/40mjsnRjCpycdUw3xhS20g",FALSE,"GATTI","https://p.scdn.co/mp3-preview/36019bb0dcbf67bb92506ac9ec877e104cffc67d?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:40mjsnRjCpycdUw3xhS20g","https://open.spotify.com/track/40mjsnRjCpycdUw3xhS20g","JACKBOYS","D","major","D major","rap"
"Travis Scott","0Y5tJX1MQlPlqiwlOH1tJY","41GuZcammIkupMPKH2OJ6I","album","2018-08-03",2018,"day",0.487,0.789,8,-3.69,1,0.044,0.00947,4.05e-06,0.189,0.0564,150.007,"7wBJfHzpfI3032CSD7CE2m","https://api.spotify.com/v1/audio-analysis/7wBJfHzpfI3032CSD7CE2m",4,1,270714,TRUE,"https://api.spotify.com/v1/tracks/7wBJfHzpfI3032CSD7CE2m",FALSE,"STARGAZING","https://p.scdn.co/mp3-preview/d2d23f9ea674dffde91d99783732b092655ccaf6?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:7wBJfHzpfI3032CSD7CE2m","https://open.spotify.com/track/7wBJfHzpfI3032CSD7CE2m","ASTROWORLD","G#","major","G# major","rap"
"Travis Scott","0Y5tJX1MQlPlqiwlOH1tJY","41GuZcammIkupMPKH2OJ6I","album","2018-08-03",2018,"day",0.428,0.403,5,-5.914,0,0.209,0.229,0,0.22,0.133,95.387,"7KZ5MMVgBVox9ycroB2UrI","https://api.spotify.com/v1/audio-analysis/7KZ5MMVgBVox9ycroB2UrI",5,1,180182,TRUE,"https://api.spotify.com/v1/tracks/7KZ5MMVgBVox9ycroB2UrI",FALSE,"CAROUSEL","https://p.scdn.co/mp3-preview/69dfdc414369c7102e805c5590eedea182d29116?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:7KZ5MMVgBVox9ycroB2UrI","https://open.spotify.com/track/7KZ5MMVgBVox9ycroB2UrI","ASTROWORLD","F","minor","F minor","rap"
"Travis Scott","0Y5tJX1MQlPlqiwlOH1tJY","41GuZcammIkupMPKH2OJ6I","album","2018-08-03",2018,"day",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,"2xLMifQCjDGFmkHkpNLD9h","https://api.spotify.com/v1/audio-analysis/2xLMifQCjDGFmkHkpNLD9h",4,1,312820,TRUE,"https://api.spotify.com/v1/tracks/2xLMifQCjDGFmkHkpNLD9h",FALSE,"SICKO MODE","https://p.scdn.co/mp3-preview/1c3c01c64477b356e28a652b6447f4ef96689a71?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:2xLMifQCjDGFmkHkpNLD9h","https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h","ASTROWORLD","G#","major","G# major","rap"
