"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Twenty One Pilots","3YQKmKGau1PzlVlkL1iodx","621cXqrTSSJi1WqDMSLmbL","album","2018-10-05",2018,"day",0.62,0.61,11,-8.329,0,0.0373,0.00849,0.162,0.205,0.235,127.052,"1E1uGhNdBe6Dddbgs2KqtZ","https://api.spotify.com/v1/audio-analysis/1E1uGhNdBe6Dddbgs2KqtZ",4,1,238560,FALSE,"https://api.spotify.com/v1/tracks/1E1uGhNdBe6Dddbgs2KqtZ",FALSE,"Jumpsuit","https://p.scdn.co/mp3-preview/764e1c0b5b1bca87f69d6c284ecde2616fa59d4e?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:1E1uGhNdBe6Dddbgs2KqtZ","https://open.spotify.com/track/1E1uGhNdBe6Dddbgs2KqtZ","Trench","B","minor","B minor","rock"
"Twenty One Pilots","3YQKmKGau1PzlVlkL1iodx","621cXqrTSSJi1WqDMSLmbL","album","2018-10-05",2018,"day",0.7,0.934,6,-5.941,0,0.17,0.0857,0.226,0.114,0.224,92.973,"2uBhGx3m5iJrtsql8Qk00j","https://api.spotify.com/v1/audio-analysis/2uBhGx3m5iJrtsql8Qk00j",4,1,145946,FALSE,"https://api.spotify.com/v1/tracks/2uBhGx3m5iJrtsql8Qk00j",FALSE,"Levitate","https://p.scdn.co/mp3-preview/1e88a32bed0c4b1f5484b0ec5a7002e22dc4fa3b?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:2uBhGx3m5iJrtsql8Qk00j","https://open.spotify.com/track/2uBhGx3m5iJrtsql8Qk00j","Trench","F#","minor","F# minor","rock"
"Twenty One Pilots","3YQKmKGau1PzlVlkL1iodx","621cXqrTSSJi1WqDMSLmbL","album","2018-10-05",2018,"day",0.734,0.607,8,-7.249,0,0.0806,0.0747,0.000577,0.0968,0.518,90.023,"01vv2AjxgP4uUyb8waYO5Y","https://api.spotify.com/v1/audio-analysis/01vv2AjxgP4uUyb8waYO5Y",4,1,258853,FALSE,"https://api.spotify.com/v1/tracks/01vv2AjxgP4uUyb8waYO5Y",FALSE,"Morph","https://p.scdn.co/mp3-preview/ea397fadfb026db6abbe2ebab227e5148893ca90?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:01vv2AjxgP4uUyb8waYO5Y","https://open.spotify.com/track/01vv2AjxgP4uUyb8waYO5Y","Trench","G#","minor","G# minor","rock"
"Twenty One Pilots","3YQKmKGau1PzlVlkL1iodx","621cXqrTSSJi1WqDMSLmbL","album","2018-10-05",2018,"day",0.749,0.723,1,-6.609,1,0.0432,0.0563,0.022,0.0977,0.674,108.999,"5HeKOKc4phmLn8e4I7EkzD","https://api.spotify.com/v1/audio-analysis/5HeKOKc4phmLn8e4I7EkzD",4,1,229120,FALSE,"https://api.spotify.com/v1/tracks/5HeKOKc4phmLn8e4I7EkzD",FALSE,"My Blood","https://p.scdn.co/mp3-preview/b8cd6218be7373a5af5036908761c66c8cf251da?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:5HeKOKc4phmLn8e4I7EkzD","https://open.spotify.com/track/5HeKOKc4phmLn8e4I7EkzD","Trench","C#","major","C# major","rock"
"Twenty One Pilots","3YQKmKGau1PzlVlkL1iodx","621cXqrTSSJi1WqDMSLmbL","album","2018-10-05",2018,"day",0.609,0.674,10,-7.388,0,0.0548,0.0735,0.06,0.345,0.315,90.009,"23OXdR7YuUBVWh5hSnYJau","https://api.spotify.com/v1/audio-analysis/23OXdR7YuUBVWh5hSnYJau",4,1,324466,FALSE,"https://api.spotify.com/v1/tracks/23OXdR7YuUBVWh5hSnYJau",FALSE,"Chlorine","https://p.scdn.co/mp3-preview/80ca0295c294687e4ce72081a94e36ff32bd43d1?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:23OXdR7YuUBVWh5hSnYJau","https://open.spotify.com/track/23OXdR7YuUBVWh5hSnYJau","Trench","A#","minor","A# minor","rock"
"Twenty One Pilots","3YQKmKGau1PzlVlkL1iodx","621cXqrTSSJi1WqDMSLmbL","album","2018-10-05",2018,"day",0.764,0.548,6,-7.627,1,0.14,0.296,1.01e-05,0.0769,0.519,151.02,"5G6Gt9RtNaeIE418pd4yre","https://api.spotify.com/v1/audio-analysis/5G6Gt9RtNaeIE418pd4yre",4,1,177040,FALSE,"https://api.spotify.com/v1/tracks/5G6Gt9RtNaeIE418pd4yre",FALSE,"Smithereens","https://p.scdn.co/mp3-preview/00a4f2ef26ddcecd13a065cc8cecd66d7d0a412d?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:5G6Gt9RtNaeIE418pd4yre","https://open.spotify.com/track/5G6Gt9RtNaeIE418pd4yre","Trench","F#","major","F# major","rock"
"Twenty One Pilots","3YQKmKGau1PzlVlkL1iodx","621cXqrTSSJi1WqDMSLmbL","album","2018-10-05",2018,"day",0.73,0.427,11,-9.834,0,0.138,0.379,0.000309,0.0893,0.392,149.45,"0sXvjZV7p4uvyPN4uQo3FH","https://api.spotify.com/v1/audio-analysis/0sXvjZV7p4uvyPN4uQo3FH",3,1,240266,FALSE,"https://api.spotify.com/v1/tracks/0sXvjZV7p4uvyPN4uQo3FH",FALSE,"Neon Gravestones","https://p.scdn.co/mp3-preview/916d4654a767e13149ae76f6b9c0ec6aadb27eb3?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:0sXvjZV7p4uvyPN4uQo3FH","https://open.spotify.com/track/0sXvjZV7p4uvyPN4uQo3FH","Trench","B","minor","B minor","rock"
"Twenty One Pilots","3YQKmKGau1PzlVlkL1iodx","621cXqrTSSJi1WqDMSLmbL","album","2018-10-05",2018,"day",0.53,0.816,9,-6.149,1,0.0503,0.0105,0.00061,0.379,0.371,87.019,"7I3skNaQdvZSS7zXY2VHId","https://api.spotify.com/v1/audio-analysis/7I3skNaQdvZSS7zXY2VHId",4,1,265373,FALSE,"https://api.spotify.com/v1/tracks/7I3skNaQdvZSS7zXY2VHId",FALSE,"The Hype","https://p.scdn.co/mp3-preview/854ee3b17e484b0727dffe62e50f8549ce66ffee?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:7I3skNaQdvZSS7zXY2VHId","https://open.spotify.com/track/7I3skNaQdvZSS7zXY2VHId","Trench","A","major","A major","rock"
"Twenty One Pilots","3YQKmKGau1PzlVlkL1iodx","621cXqrTSSJi1WqDMSLmbL","album","2018-10-05",2018,"day",0.728,0.602,9,-7.748,0,0.185,0.0699,7.01e-06,0.318,0.328,140.081,"5SehvGGC53A7SZKCLXQcyt","https://api.spotify.com/v1/audio-analysis/5SehvGGC53A7SZKCLXQcyt",4,1,225040,FALSE,"https://api.spotify.com/v1/tracks/5SehvGGC53A7SZKCLXQcyt",FALSE,"Nico and the Niners","https://p.scdn.co/mp3-preview/68f0ee687aa4830c067eb90bb404961af459f530?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:5SehvGGC53A7SZKCLXQcyt","https://open.spotify.com/track/5SehvGGC53A7SZKCLXQcyt","Trench","A","minor","A minor","rock"
"Twenty One Pilots","3YQKmKGau1PzlVlkL1iodx","621cXqrTSSJi1WqDMSLmbL","album","2018-10-05",2018,"day",0.641,0.561,4,-5.856,1,0.0355,0.12,0.0021,0.358,0.678,111.938,"6gFtgkh8ShkrJn52Cbdhxy","https://api.spotify.com/v1/audio-analysis/6gFtgkh8ShkrJn52Cbdhxy",4,1,282613,FALSE,"https://api.spotify.com/v1/tracks/6gFtgkh8ShkrJn52Cbdhxy",FALSE,"Cut My Lip","https://p.scdn.co/mp3-preview/508a5b4bf26e01f34e02f952cd7815b7a75d09fe?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:6gFtgkh8ShkrJn52Cbdhxy","https://open.spotify.com/track/6gFtgkh8ShkrJn52Cbdhxy","Trench","E","major","E major","rock"
