"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Van Halen","2cnMpRsOVqtPMfq7YiFE6K","7gdFQXiDhkjc6FHP9pjaCm","album","2017-07-14",2017,"day",0.342,0.805,4,-13.429,1,0.0494,4.55e-06,0.846,0.974,0.267,109.248,"2wPWhX9ufnsIxUmKhO82Ff","https://api.spotify.com/v1/audio-analysis/2wPWhX9ufnsIxUmKhO82Ff",4,1,327653,FALSE,"https://api.spotify.com/v1/tracks/2wPWhX9ufnsIxUmKhO82Ff",FALSE,"<U+30D1><U+30A6><U+30F3><U+30C9><U+30B1><U+30FC><U+30AD> (Live) [Remastered]","https://p.scdn.co/mp3-preview/c4429f9dd8940a86c47b98929e6f615f0b62ce11?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:2wPWhX9ufnsIxUmKhO82Ff","https://open.spotify.com/track/2wPWhX9ufnsIxUmKhO82Ff","<U+30E9><U+30A4><U+30F4>·<U+30A4><U+30F3>·<U+30AB><U+30EA><U+30D5><U+30A9><U+30EB><U+30CB><U+30A2>1992 (Live) [Remastered]","E","major","E major","rock"
"Van Halen","2cnMpRsOVqtPMfq7YiFE6K","7gdFQXiDhkjc6FHP9pjaCm","album","2017-07-14",2017,"day",0.334,0.749,11,-13.788,0,0.0513,2.3e-05,0.897,0.981,0.328,97.796,"1zgi8cnvmOgX9pgRm7VLq8","https://api.spotify.com/v1/audio-analysis/1zgi8cnvmOgX9pgRm7VLq8",4,1,287746,FALSE,"https://api.spotify.com/v1/tracks/1zgi8cnvmOgX9pgRm7VLq8",FALSE,"<U+30B8><U+30E3><U+30C3><U+30B8><U+30E1><U+30F3><U+30C8>·<U+30C7><U+30A4> (Live) [Remastered]","https://p.scdn.co/mp3-preview/bbad5adacbb0b3107984a362c44074f778884535?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:1zgi8cnvmOgX9pgRm7VLq8","https://open.spotify.com/track/1zgi8cnvmOgX9pgRm7VLq8","<U+30E9><U+30A4><U+30F4>·<U+30A4><U+30F3>·<U+30AB><U+30EA><U+30D5><U+30A9><U+30EB><U+30CB><U+30A2>1992 (Live) [Remastered]","B","minor","B minor","rock"
"Van Halen","2cnMpRsOVqtPMfq7YiFE6K","7gdFQXiDhkjc6FHP9pjaCm","album","2017-07-14",2017,"day",0.429,0.664,4,-13.656,0,0.0361,7.41e-05,0.687,0.952,0.364,98.302,"1zXUPbamOZadKJnp2F4rjz","https://api.spotify.com/v1/audio-analysis/1zXUPbamOZadKJnp2F4rjz",4,1,303013,FALSE,"https://api.spotify.com/v1/tracks/1zXUPbamOZadKJnp2F4rjz",FALSE,"<U+30B9><U+30D1><U+30F3><U+30AF><U+30C8> (Live) [Remastered]","https://p.scdn.co/mp3-preview/e6f907641b480ed115d468240e0384d176a27ea4?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:1zXUPbamOZadKJnp2F4rjz","https://open.spotify.com/track/1zXUPbamOZadKJnp2F4rjz","<U+30E9><U+30A4><U+30F4>·<U+30A4><U+30F3>·<U+30AB><U+30EA><U+30D5><U+30A9><U+30EB><U+30CB><U+30A2>1992 (Live) [Remastered]","E","minor","E minor","rock"
"Van Halen","2cnMpRsOVqtPMfq7YiFE6K","7gdFQXiDhkjc6FHP9pjaCm","album","2017-07-14",2017,"day",0.468,0.561,2,-15.273,1,0.0281,0.000418,0.808,0.981,0.293,102.04,"0dhvFClEojdVOYwWdS6xFn","https://api.spotify.com/v1/audio-analysis/0dhvFClEojdVOYwWdS6xFn",4,1,326720,FALSE,"https://api.spotify.com/v1/tracks/0dhvFClEojdVOYwWdS6xFn",FALSE,"<U+30DB><U+30A8><U+30F3>·<U+30A4><U+30C3><U+30C4>·<U+30E9><U+30F4> (Live) [Remastered]","https://p.scdn.co/mp3-preview/73681c004794baedf035124d222e6d659228c03a?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:0dhvFClEojdVOYwWdS6xFn","https://open.spotify.com/track/0dhvFClEojdVOYwWdS6xFn","<U+30E9><U+30A4><U+30F4>·<U+30A4><U+30F3>·<U+30AB><U+30EA><U+30D5><U+30A9><U+30EB><U+30CB><U+30A2>1992 (Live) [Remastered]","D","major","D major","rock"
"Van Halen","2cnMpRsOVqtPMfq7YiFE6K","7gdFQXiDhkjc6FHP9pjaCm","album","2017-07-14",2017,"day",0.396,0.639,4,-13.793,0,0.0333,4.05e-05,0.605,0.987,0.405,96.63,"2Ps92LJaqbTuJSTcrNz1nQ","https://api.spotify.com/v1/audio-analysis/2Ps92LJaqbTuJSTcrNz1nQ",4,1,292933,FALSE,"https://api.spotify.com/v1/tracks/2Ps92LJaqbTuJSTcrNz1nQ",FALSE,"<U+30DE><U+30F3>·<U+30AA><U+30F3>·<U+30A2>·<U+30DF><U+30C3><U+30B7><U+30E7><U+30F3> (Live) [Remastered]","https://p.scdn.co/mp3-preview/9ac22d1748f48a43aac0b3d0c131a1c8562e810b?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:2Ps92LJaqbTuJSTcrNz1nQ","https://open.spotify.com/track/2Ps92LJaqbTuJSTcrNz1nQ","<U+30E9><U+30A4><U+30F4>·<U+30A4><U+30F3>·<U+30AB><U+30EA><U+30D5><U+30A9><U+30EB><U+30CB><U+30A2>1992 (Live) [Remastered]","E","minor","E minor","rock"
"Van Halen","2cnMpRsOVqtPMfq7YiFE6K","7gdFQXiDhkjc6FHP9pjaCm","album","2017-07-14",2017,"day",0.207,0.669,5,-14.421,1,0.0409,0.000475,0.531,0.935,0.182,96.463,"5M3wEFQALJGarNypgjETvZ","https://api.spotify.com/v1/audio-analysis/5M3wEFQALJGarNypgjETvZ",4,1,368733,FALSE,"https://api.spotify.com/v1/tracks/5M3wEFQALJGarNypgjETvZ",FALSE,"<U+30E9><U+30A4><U+30C8>·<U+30CA><U+30A6> (Live) [Remastered]","https://p.scdn.co/mp3-preview/18842497d76187b83111031489143439343e8f6a?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:5M3wEFQALJGarNypgjETvZ","https://open.spotify.com/track/5M3wEFQALJGarNypgjETvZ","<U+30E9><U+30A4><U+30F4>·<U+30A4><U+30F3>·<U+30AB><U+30EA><U+30D5><U+30A9><U+30EB><U+30CB><U+30A2>1992 (Live) [Remastered]","F","major","F major","rock"
"Van Halen","2cnMpRsOVqtPMfq7YiFE6K","7gdFQXiDhkjc6FHP9pjaCm","album","2017-07-14",2017,"day",0.418,0.645,7,-13.43,1,0.0479,3.69e-05,0.436,0.777,0.289,89.388,"45V6ElXhLm0UKLjQGOssK8","https://api.spotify.com/v1/audio-analysis/45V6ElXhLm0UKLjQGOssK8",4,1,234093,FALSE,"https://api.spotify.com/v1/tracks/45V6ElXhLm0UKLjQGOssK8",FALSE,"<U+30DB><U+30EF><U+30A4>·<U+30AD><U+30E3><U+30F3><U+30C8>·<U+30C7><U+30A3><U+30B9>·<U+30D3><U+30FC>·<U+30E9><U+30F4> (Live) [Remastered]","https://p.scdn.co/mp3-preview/a2344b8211f70a54df144b84499b8160e9ef9212?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:45V6ElXhLm0UKLjQGOssK8","https://open.spotify.com/track/45V6ElXhLm0UKLjQGOssK8","<U+30E9><U+30A4><U+30F4>·<U+30A4><U+30F3>·<U+30AB><U+30EA><U+30D5><U+30A9><U+30EB><U+30CB><U+30A2>1992 (Live) [Remastered]","G","major","G major","rock"
"Van Halen","2cnMpRsOVqtPMfq7YiFE6K","7gdFQXiDhkjc6FHP9pjaCm","album","2017-07-14",2017,"day",0.439,0.707,2,-13.922,1,0.0407,0.000357,0.33,0.91,0.69,126.22,"1H2HIrmzhBp0j35fnkg5Tn","https://api.spotify.com/v1/audio-analysis/1H2HIrmzhBp0j35fnkg5Tn",4,1,354986,FALSE,"https://api.spotify.com/v1/tracks/1H2HIrmzhBp0j35fnkg5Tn",FALSE,"<U+30D5><U+30A3><U+30CB><U+30C3><U+30B7><U+30E5>·<U+30DB><U+30EF><U+30C3><U+30C8>·<U+30E4>·<U+30B9><U+30BF><U+30FC><U+30C6><U+30C3><U+30C9> (Live) [Remastered]","https://p.scdn.co/mp3-preview/3e494f15838c152f975ff2c9af9fc212aa2938bc?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:1H2HIrmzhBp0j35fnkg5Tn","https://open.spotify.com/track/1H2HIrmzhBp0j35fnkg5Tn","<U+30E9><U+30A4><U+30F4>·<U+30A4><U+30F3>·<U+30AB><U+30EA><U+30D5><U+30A9><U+30EB><U+30CB><U+30A2>1992 (Live) [Remastered]","D","major","D major","rock"
"Van Halen","2cnMpRsOVqtPMfq7YiFE6K","7gdFQXiDhkjc6FHP9pjaCm","album","2017-07-14",2017,"day",0.15,0.656,2,-14.129,1,0.0587,8.21e-05,0.344,0.473,0.458,83.142,"4zyQlTYvze5PYAFLWv46dG","https://api.spotify.com/v1/audio-analysis/4zyQlTYvze5PYAFLWv46dG",4,1,481520,FALSE,"https://api.spotify.com/v1/tracks/4zyQlTYvze5PYAFLWv46dG",FALSE,"<U+30E6><U+30FC>·<U+30EA><U+30A2><U+30EA><U+30FC>·<U+30AC><U+30C3><U+30C8>·<U+30DF><U+30FC> (Live) [Remastered]","https://p.scdn.co/mp3-preview/d4cfed9b91b15c3973fd3e8cb1bba3eee1f80715?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:4zyQlTYvze5PYAFLWv46dG","https://open.spotify.com/track/4zyQlTYvze5PYAFLWv46dG","<U+30E9><U+30A4><U+30F4>·<U+30A4><U+30F3>·<U+30AB><U+30EA><U+30D5><U+30A9><U+30EB><U+30CB><U+30A2>1992 (Live) [Remastered]","D","major","D major","rock"
"Van Halen","2cnMpRsOVqtPMfq7YiFE6K","7gdFQXiDhkjc6FHP9pjaCm","album","2017-07-14",2017,"day",0.5,0.567,2,-13.008,1,0.0336,9.03e-05,0.426,0.712,0.18,128.382,"4adT9gy1e2yQqgktBJjmV5","https://api.spotify.com/v1/audio-analysis/4adT9gy1e2yQqgktBJjmV5",4,1,258573,FALSE,"https://api.spotify.com/v1/tracks/4adT9gy1e2yQqgktBJjmV5",FALSE,"<U+30B8><U+30E3><U+30F3><U+30D7> (Live) [Remastered]","https://p.scdn.co/mp3-preview/ad421b1628c57473a9b3bbc20e9150a71684ad95?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:4adT9gy1e2yQqgktBJjmV5","https://open.spotify.com/track/4adT9gy1e2yQqgktBJjmV5","<U+30E9><U+30A4><U+30F4>·<U+30A4><U+30F3>·<U+30AB><U+30EA><U+30D5><U+30A9><U+30EB><U+30CB><U+30A2>1992 (Live) [Remastered]","D","major","D major","rock"
"Van Halen","2cnMpRsOVqtPMfq7YiFE6K","7gdFQXiDhkjc6FHP9pjaCm","album","2017-07-14",2017,"day",0.312,0.742,2,-13.448,1,0.0458,9.96e-06,0.907,0.989,0.202,99.738,"5pjejHwqVH7kwYSfe5FRih","https://api.spotify.com/v1/audio-analysis/5pjejHwqVH7kwYSfe5FRih",4,1,393666,FALSE,"https://api.spotify.com/v1/tracks/5pjejHwqVH7kwYSfe5FRih",FALSE,"<U+30A4><U+30F3>·<U+30A2><U+30F3><U+30C9>·<U+30A2><U+30A6><U+30C8> (Live) [Remastered]","https://p.scdn.co/mp3-preview/73c655163f2e6e7a3ce6eb4318a8d4afc6f32891?cid=c22575ce003a46ba95e4590c10b3acb1",11,"track","spotify:track:5pjejHwqVH7kwYSfe5FRih","https://open.spotify.com/track/5pjejHwqVH7kwYSfe5FRih","<U+30E9><U+30A4><U+30F4>·<U+30A4><U+30F3>·<U+30AB><U+30EA><U+30D5><U+30A9><U+30EB><U+30CB><U+30A2>1992 (Live) [Remastered]","D","major","D major","rock"
"Van Halen","2cnMpRsOVqtPMfq7YiFE6K","7gdFQXiDhkjc6FHP9pjaCm","album","2017-07-14",2017,"day",0.319,0.629,11,-14.511,0,0.0425,1.56e-05,0.579,0.962,0.398,132.697,"6yl8xUEYMwP99PRATTn23e","https://api.spotify.com/v1/audio-analysis/6yl8xUEYMwP99PRATTn23e",4,1,268400,FALSE,"https://api.spotify.com/v1/tracks/6yl8xUEYMwP99PRATTn23e",FALSE,"<U+30B6>·<U+30C9><U+30EA><U+30FC><U+30E0>·<U+30A4><U+30BA>·<U+30AA><U+30FC><U+30F4><U+30A1><U+30FC> (Live) [Remastered]","https://p.scdn.co/mp3-preview/aef1f9b24e78ad8b9bcc72cb998c8d520241e35d?cid=c22575ce003a46ba95e4590c10b3acb1",12,"track","spotify:track:6yl8xUEYMwP99PRATTn23e","https://open.spotify.com/track/6yl8xUEYMwP99PRATTn23e","<U+30E9><U+30A4><U+30F4>·<U+30A4><U+30F3>·<U+30AB><U+30EA><U+30D5><U+30A9><U+30EB><U+30CB><U+30A2>1992 (Live) [Remastered]","B","minor","B minor","rock"
"Van Halen","2cnMpRsOVqtPMfq7YiFE6K","7gdFQXiDhkjc6FHP9pjaCm","album","2017-07-14",2017,"day",0.435,0.643,2,-13.897,1,0.035,2.57e-05,0.586,0.42,0.567,120.027,"0DycHK13kl8BVBo9CNhS5Q","https://api.spotify.com/v1/audio-analysis/0DycHK13kl8BVBo9CNhS5Q",4,1,271506,FALSE,"https://api.spotify.com/v1/tracks/0DycHK13kl8BVBo9CNhS5Q",FALSE,"<U+30D9><U+30B9><U+30C8>·<U+30AA><U+30D6>·<U+30DC><U+30FC><U+30BA>·<U+30EF><U+30FC><U+30EB><U+30C9> (Live) [Remastered]","https://p.scdn.co/mp3-preview/640e88957059bb9e37def19e1cb28da3057f3d00?cid=c22575ce003a46ba95e4590c10b3acb1",13,"track","spotify:track:0DycHK13kl8BVBo9CNhS5Q","https://open.spotify.com/track/0DycHK13kl8BVBo9CNhS5Q","<U+30E9><U+30A4><U+30F4>·<U+30A4><U+30F3>·<U+30AB><U+30EA><U+30D5><U+30A9><U+30EB><U+30CB><U+30A2>1992 (Live) [Remastered]","D","major","D major","rock"
