"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Van Morrison","44NX2ffIYHr6D4n7RaZF7A","70egKNrp2bATPmFZO10Nka","album","2021-01-20",2021,"day",0.642,0.24,9,-14.745,0,0.0344,0.39,7.92e-06,0.186,0.545,133.026,"39Tz271ybkT2BlQxgvbngg","https://api.spotify.com/v1/audio-analysis/39Tz271ybkT2BlQxgvbngg",4,1,276741,FALSE,"https://api.spotify.com/v1/tracks/39Tz271ybkT2BlQxgvbngg",FALSE,"Moondance","https://p.scdn.co/mp3-preview/9508d794da70f0151141c5a0b4840ec56a065aa6?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:39Tz271ybkT2BlQxgvbngg","https://open.spotify.com/track/39Tz271ybkT2BlQxgvbngg","Solid Gold Van Morrison","A","minor","A minor","folk"
"Van Morrison","44NX2ffIYHr6D4n7RaZF7A","70egKNrp2bATPmFZO10Nka","album","2021-01-20",2021,"day",0.49,0.146,9,-21.514,1,0.127,0.767,9.5e-06,0.311,0.35,153.778,"7hwFECwwdBHpG2WCMEvKdD","https://api.spotify.com/v1/audio-analysis/7hwFECwwdBHpG2WCMEvKdD",4,1,156891,FALSE,"https://api.spotify.com/v1/tracks/7hwFECwwdBHpG2WCMEvKdD",FALSE,"Crazy Love","https://p.scdn.co/mp3-preview/68cc17a5f4a2fe626331bb11faab4ae9944bb99a?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:7hwFECwwdBHpG2WCMEvKdD","https://open.spotify.com/track/7hwFECwwdBHpG2WCMEvKdD","Solid Gold Van Morrison","A","major","A major","folk"
"Van Morrison","44NX2ffIYHr6D4n7RaZF7A","70egKNrp2bATPmFZO10Nka","album","2021-01-20",2021,"day",0.619,0.937,9,-6.709,1,0.0857,0.223,0.0299,0.18,0.577,128.389,"0dISraoxIzUWZAhUJJAUWb","https://api.spotify.com/v1/audio-analysis/0dISraoxIzUWZAhUJJAUWb",4,1,160182,FALSE,"https://api.spotify.com/v1/tracks/0dISraoxIzUWZAhUJJAUWb",FALSE,"Gloria","https://p.scdn.co/mp3-preview/1c64654c22382d614b80b9b713274ba511c3628e?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:0dISraoxIzUWZAhUJJAUWb","https://open.spotify.com/track/0dISraoxIzUWZAhUJJAUWb","Solid Gold Van Morrison","A","major","A major","folk"
"Van Morrison","44NX2ffIYHr6D4n7RaZF7A","70egKNrp2bATPmFZO10Nka","album","2021-01-20",2021,"day",0.6,0.403,7,-13.537,1,0.0357,0.317,3.1e-06,0.0535,0.53,75.332,"66HJcYJvT8wnLwPf7XPVQO","https://api.spotify.com/v1/audio-analysis/66HJcYJvT8wnLwPf7XPVQO",4,1,274050,FALSE,"https://api.spotify.com/v1/tracks/66HJcYJvT8wnLwPf7XPVQO",FALSE,"And It Stoned Me","https://p.scdn.co/mp3-preview/acbe0fc65d50b18132aa36e77783441cb377184a?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:66HJcYJvT8wnLwPf7XPVQO","https://open.spotify.com/track/66HJcYJvT8wnLwPf7XPVQO","Solid Gold Van Morrison","G","major","G major","folk"
"Van Morrison","44NX2ffIYHr6D4n7RaZF7A","70egKNrp2bATPmFZO10Nka","album","2021-01-20",2021,"day",0.477,0.671,7,-7.253,1,0.0376,0.271,0,0.55,0.89,150.882,"1o2dF50U8U2chk4VBXFdZw","https://api.spotify.com/v1/audio-analysis/1o2dF50U8U2chk4VBXFdZw",4,1,183013,FALSE,"https://api.spotify.com/v1/tracks/1o2dF50U8U2chk4VBXFdZw",FALSE,"Brown Eyed Girl","https://p.scdn.co/mp3-preview/26336e60c57a39c68664e39b5a2a5cf38fd32f96?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:1o2dF50U8U2chk4VBXFdZw","https://open.spotify.com/track/1o2dF50U8U2chk4VBXFdZw","Solid Gold Van Morrison","G","major","G major","folk"
"Van Morrison","44NX2ffIYHr6D4n7RaZF7A","70egKNrp2bATPmFZO10Nka","album","2021-01-20",2021,"day",0.515,0.402,3,-15.208,1,0.0394,0.195,0.00755,0.0812,0.74,170.271,"1Rq9XcBzsz8OCg96FoLh4i","https://api.spotify.com/v1/audio-analysis/1Rq9XcBzsz8OCg96FoLh4i",4,1,210468,FALSE,"https://api.spotify.com/v1/tracks/1Rq9XcBzsz8OCg96FoLh4i",FALSE,"Into the Mystic","https://p.scdn.co/mp3-preview/001a73de4ccef713b37c9614d7da9be3d3581b55?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:1Rq9XcBzsz8OCg96FoLh4i","https://open.spotify.com/track/1Rq9XcBzsz8OCg96FoLh4i","Solid Gold Van Morrison","D#","major","D# major","folk"
"Van Morrison","44NX2ffIYHr6D4n7RaZF7A","70egKNrp2bATPmFZO10Nka","album","2021-01-20",2021,"day",0.646,0.331,7,-14.674,1,0.0529,0.309,0.000608,0.0505,0.599,81.738,"6TcwyTm7EFIEm9UxTVIqwi","https://api.spotify.com/v1/audio-analysis/6TcwyTm7EFIEm9UxTVIqwi",4,1,302602,FALSE,"https://api.spotify.com/v1/tracks/6TcwyTm7EFIEm9UxTVIqwi",FALSE,"Caravan","https://p.scdn.co/mp3-preview/ad46ca81693b5587db01525a46b39fa44dfbffc4?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:6TcwyTm7EFIEm9UxTVIqwi","https://open.spotify.com/track/6TcwyTm7EFIEm9UxTVIqwi","Solid Gold Van Morrison","G","major","G major","folk"
"Van Morrison","44NX2ffIYHr6D4n7RaZF7A","70egKNrp2bATPmFZO10Nka","album","2021-01-20",2021,"day",0.643,0.517,2,-14.293,1,0.0511,0.227,0.000151,0.185,0.773,97.289,"4VGVPuD1qFAYPBiYLsxoOc","https://api.spotify.com/v1/audio-analysis/4VGVPuD1qFAYPBiYLsxoOc",4,1,152502,FALSE,"https://api.spotify.com/v1/tracks/4VGVPuD1qFAYPBiYLsxoOc",FALSE,"Come Running","https://p.scdn.co/mp3-preview/610558e24a7eb001c0bd1acba184f197db7c0439?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:4VGVPuD1qFAYPBiYLsxoOc","https://open.spotify.com/track/4VGVPuD1qFAYPBiYLsxoOc","Solid Gold Van Morrison","D","major","D major","folk"
"Van Morrison","44NX2ffIYHr6D4n7RaZF7A","70egKNrp2bATPmFZO10Nka","album","2021-01-20",2021,"day",0.718,0.708,5,-6.826,1,0.0395,0.519,1.65e-06,0.0661,0.778,106.347,"5hHlBQcagv92zywd80gbzF","https://api.spotify.com/v1/audio-analysis/5hHlBQcagv92zywd80gbzF",4,1,163604,FALSE,"https://api.spotify.com/v1/tracks/5hHlBQcagv92zywd80gbzF",FALSE,"Baby Please Don't Go","https://p.scdn.co/mp3-preview/6dd05bffe5b84e03eee25cd23086b62aebd17bbf?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:5hHlBQcagv92zywd80gbzF","https://open.spotify.com/track/5hHlBQcagv92zywd80gbzF","Solid Gold Van Morrison","F","major","F major","folk"
"Van Morrison","44NX2ffIYHr6D4n7RaZF7A","70egKNrp2bATPmFZO10Nka","album","2021-01-20",2021,"day",0.689,0.356,7,-14.615,1,0.053,0.0581,0.000195,0.0659,0.839,112.918,"5ZYYWD8S6aR4nwYkZlW1Bw","https://api.spotify.com/v1/audio-analysis/5ZYYWD8S6aR4nwYkZlW1Bw",4,1,233952,FALSE,"https://api.spotify.com/v1/tracks/5ZYYWD8S6aR4nwYkZlW1Bw",FALSE,"These Dreams of You","https://p.scdn.co/mp3-preview/2a71b6543104eda0a86df8f470745e5ca647726e?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:5ZYYWD8S6aR4nwYkZlW1Bw","https://open.spotify.com/track/5ZYYWD8S6aR4nwYkZlW1Bw","Solid Gold Van Morrison","G","major","G major","folk"
