"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Yes","7AC976RDJzL2asmZuz7qil","5OG3FCEiAk16k2ZPFlMOf2","album","2020-10-30",2020,"day",0.362,0.792,4,-8.632,1,0.148,0.368,6.04e-06,0.764,0.475,140.641,"2sbOVoWdc2IdJ8aD7Jlghg","https://api.spotify.com/v1/audio-analysis/2sbOVoWdc2IdJ8aD7Jlghg",4,1,296666,FALSE,"https://api.spotify.com/v1/tracks/2sbOVoWdc2IdJ8aD7Jlghg",FALSE,"No Opportunity Necessary No Experience Needed - Live","https://p.scdn.co/mp3-preview/9cd5c84c4b6d80ea07fc0c9afce7d6178a04a45e?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:2sbOVoWdc2IdJ8aD7Jlghg","https://open.spotify.com/track/2sbOVoWdc2IdJ8aD7Jlghg","The Royal Affair Tour (Live in Las Vegas)","E","major","E major","jazz"
"Yes","7AC976RDJzL2asmZuz7qil","5OG3FCEiAk16k2ZPFlMOf2","album","2020-10-30",2020,"day",0.391,0.863,11,-8.496,0,0.155,0.277,0.000118,0.96,0.543,151.941,"43sihyqHgKtJVv0HDPWSXQ","https://api.spotify.com/v1/audio-analysis/43sihyqHgKtJVv0HDPWSXQ",4,1,369653,FALSE,"https://api.spotify.com/v1/tracks/43sihyqHgKtJVv0HDPWSXQ",FALSE,"Tempus Fugit - Live","https://p.scdn.co/mp3-preview/9dee0c80320149c6e684021a28581c766b7d0b7d?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:43sihyqHgKtJVv0HDPWSXQ","https://open.spotify.com/track/43sihyqHgKtJVv0HDPWSXQ","The Royal Affair Tour (Live in Las Vegas)","B","minor","B minor","jazz"
"Yes","7AC976RDJzL2asmZuz7qil","5OG3FCEiAk16k2ZPFlMOf2","album","2020-10-30",2020,"day",0.397,0.784,2,-6.858,0,0.0339,0.287,1.63e-05,0.975,0.388,90.198,"7pX6fzpS95BTs9rlrxuiw0","https://api.spotify.com/v1/audio-analysis/7pX6fzpS95BTs9rlrxuiw0",4,1,328680,FALSE,"https://api.spotify.com/v1/tracks/7pX6fzpS95BTs9rlrxuiw0",FALSE,"Going for the One - Live","https://p.scdn.co/mp3-preview/58ba905631319ed1627b8937917819703a388252?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:7pX6fzpS95BTs9rlrxuiw0","https://open.spotify.com/track/7pX6fzpS95BTs9rlrxuiw0","The Royal Affair Tour (Live in Las Vegas)","D","minor","D minor","jazz"
"Yes","7AC976RDJzL2asmZuz7qil","5OG3FCEiAk16k2ZPFlMOf2","album","2020-10-30",2020,"day",0.418,0.636,9,-9.609,1,0.0529,0.493,1.02e-06,0.97,0.485,129.808,"3sj1lJ3IMKMuvMy2pJRIcL","https://api.spotify.com/v1/audio-analysis/3sj1lJ3IMKMuvMy2pJRIcL",4,1,431733,FALSE,"https://api.spotify.com/v1/tracks/3sj1lJ3IMKMuvMy2pJRIcL",FALSE,"All Good People - Live","https://p.scdn.co/mp3-preview/d9ed1a65d618fbd33747c5c1c5b49a5e488453b2?cid=c22575ce003a46ba95e4590c10b3acb1",4,"track","spotify:track:3sj1lJ3IMKMuvMy2pJRIcL","https://open.spotify.com/track/3sj1lJ3IMKMuvMy2pJRIcL","The Royal Affair Tour (Live in Las Vegas)","A","major","A major","jazz"
"Yes","7AC976RDJzL2asmZuz7qil","5OG3FCEiAk16k2ZPFlMOf2","album","2020-10-30",2020,"day",0.432,0.815,11,-7.928,0,0.0549,0.607,0.000716,0.933,0.453,117.047,"7HC9FQXo62JWQFQzJK7P7a","https://api.spotify.com/v1/audio-analysis/7HC9FQXo62JWQFQzJK7P7a",4,1,627133,FALSE,"https://api.spotify.com/v1/tracks/7HC9FQXo62JWQFQzJK7P7a",FALSE,"Siberian Khatru - Live","https://p.scdn.co/mp3-preview/2527ca33a3a87c6b7a1eef2de755e274964a3dfb?cid=c22575ce003a46ba95e4590c10b3acb1",5,"track","spotify:track:7HC9FQXo62JWQFQzJK7P7a","https://open.spotify.com/track/7HC9FQXo62JWQFQzJK7P7a","The Royal Affair Tour (Live in Las Vegas)","B","minor","B minor","jazz"
"Yes","7AC976RDJzL2asmZuz7qil","5OG3FCEiAk16k2ZPFlMOf2","album","2020-10-30",2020,"day",0.509,0.469,0,-10.118,1,0.0288,0.198,0.0346,0.934,0.35,63.883,"6n9k234cbQOCkSNYjcfSUG","https://api.spotify.com/v1/audio-analysis/6n9k234cbQOCkSNYjcfSUG",4,1,244826,FALSE,"https://api.spotify.com/v1/tracks/6n9k234cbQOCkSNYjcfSUG",FALSE,"Onward - Live","https://p.scdn.co/mp3-preview/29cadbe940d3fd1bb42877d7c54edb0c4556aac9?cid=c22575ce003a46ba95e4590c10b3acb1",6,"track","spotify:track:6n9k234cbQOCkSNYjcfSUG","https://open.spotify.com/track/6n9k234cbQOCkSNYjcfSUG","The Royal Affair Tour (Live in Las Vegas)","C","major","C major","jazz"
"Yes","7AC976RDJzL2asmZuz7qil","5OG3FCEiAk16k2ZPFlMOf2","album","2020-10-30",2020,"day",0.32,0.552,9,-10.13,1,0.0394,0.178,2.97e-05,0.959,0.431,171.987,"6FlPQx76CCQdiZtaYTHNdh","https://api.spotify.com/v1/audio-analysis/6FlPQx76CCQdiZtaYTHNdh",4,1,670346,FALSE,"https://api.spotify.com/v1/tracks/6FlPQx76CCQdiZtaYTHNdh",FALSE,"America - Live","https://p.scdn.co/mp3-preview/011d4b9fa8a3d22956670ba061017bf8874988a0?cid=c22575ce003a46ba95e4590c10b3acb1",7,"track","spotify:track:6FlPQx76CCQdiZtaYTHNdh","https://open.spotify.com/track/6FlPQx76CCQdiZtaYTHNdh","The Royal Affair Tour (Live in Las Vegas)","A","major","A major","jazz"
"Yes","7AC976RDJzL2asmZuz7qil","5OG3FCEiAk16k2ZPFlMOf2","album","2020-10-30",2020,"day",0.487,0.375,0,-12.134,1,0.0272,0.844,6.88e-05,0.93,0.311,77.128,"2hqetktnPsdVz2w0SrDPsW","https://api.spotify.com/v1/audio-analysis/2hqetktnPsdVz2w0SrDPsW",4,1,293200,FALSE,"https://api.spotify.com/v1/tracks/2hqetktnPsdVz2w0SrDPsW",FALSE,"Imagine - Live","https://p.scdn.co/mp3-preview/995253c71c76830099edf1d833951aeca26a7eed?cid=c22575ce003a46ba95e4590c10b3acb1",8,"track","spotify:track:2hqetktnPsdVz2w0SrDPsW","https://open.spotify.com/track/2hqetktnPsdVz2w0SrDPsW","The Royal Affair Tour (Live in Las Vegas)","C","major","C major","jazz"
"Yes","7AC976RDJzL2asmZuz7qil","5OG3FCEiAk16k2ZPFlMOf2","album","2020-10-30",2020,"day",0.391,0.648,7,-8.798,1,0.0516,0.268,4.08e-05,0.982,0.451,128.702,"2Hg1HtWacEukYPuAgedQUT","https://api.spotify.com/v1/audio-analysis/2Hg1HtWacEukYPuAgedQUT",4,1,555920,FALSE,"https://api.spotify.com/v1/tracks/2Hg1HtWacEukYPuAgedQUT",FALSE,"Roundabout - Live","https://p.scdn.co/mp3-preview/eef5212d38b7636b9571d3c1830e51312842d1cb?cid=c22575ce003a46ba95e4590c10b3acb1",9,"track","spotify:track:2Hg1HtWacEukYPuAgedQUT","https://open.spotify.com/track/2Hg1HtWacEukYPuAgedQUT","The Royal Affair Tour (Live in Las Vegas)","G","major","G major","jazz"
"Yes","7AC976RDJzL2asmZuz7qil","5OG3FCEiAk16k2ZPFlMOf2","album","2020-10-30",2020,"day",0.261,0.553,7,-9.902,1,0.0328,0.138,0.000345,0.96,0.292,77.821,"1tErWD9cs586U4cf6fsxVN","https://api.spotify.com/v1/audio-analysis/1tErWD9cs586U4cf6fsxVN",4,1,702680,FALSE,"https://api.spotify.com/v1/tracks/1tErWD9cs586U4cf6fsxVN",FALSE,"Starship Trooper - Live","https://p.scdn.co/mp3-preview/6b902daf50286ac021b3acc6432e0444dfb2875a?cid=c22575ce003a46ba95e4590c10b3acb1",10,"track","spotify:track:1tErWD9cs586U4cf6fsxVN","https://open.spotify.com/track/1tErWD9cs586U4cf6fsxVN","The Royal Affair Tour (Live in Las Vegas)","G","major","G major","jazz"
