"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"Yusuf / Cat Stevens","08F3Y3SctIlsOEmKd6dnH8","4d0yYXHa2zt2vZgfm7t8yP","album","2020-09-18",2020,"day",0.66,0.302,7,-12.696,1,0.0342,0.804,0.000176,0.112,0.405,117.163,"33Tddvs926mVxwg08J3lQt","https://api.spotify.com/v1/audio-analysis/33Tddvs926mVxwg08J3lQt",4,1,249066,FALSE,"https://api.spotify.com/v1/tracks/33Tddvs926mVxwg08J3lQt",FALSE,"Where Do The Children Play?",NA,1,"track","spotify:track:33Tddvs926mVxwg08J3lQt","https://open.spotify.com/track/33Tddvs926mVxwg08J3lQt","Tea For The Tillerman²","G","major","G major","folk"
"Yusuf / Cat Stevens","08F3Y3SctIlsOEmKd6dnH8","4d0yYXHa2zt2vZgfm7t8yP","album","2020-09-18",2020,"day",0.555,0.385,0,-9.076,1,0.0341,0.747,8.96e-05,0.128,0.238,76.459,"3k19BuktFdvlZ4KHS57j6a","https://api.spotify.com/v1/audio-analysis/3k19BuktFdvlZ4KHS57j6a",4,1,211533,FALSE,"https://api.spotify.com/v1/tracks/3k19BuktFdvlZ4KHS57j6a",FALSE,"Hard Headed Woman",NA,2,"track","spotify:track:3k19BuktFdvlZ4KHS57j6a","https://open.spotify.com/track/3k19BuktFdvlZ4KHS57j6a","Tea For The Tillerman²","C","major","C major","folk"
"Yusuf / Cat Stevens","08F3Y3SctIlsOEmKd6dnH8","4d0yYXHa2zt2vZgfm7t8yP","album","2020-09-18",2020,"day",0.779,0.503,9,-8.155,0,0.0425,0.711,0.00135,0.0998,0.666,125.076,"72NSLecZFdTGJBGCb27QVR","https://api.spotify.com/v1/audio-analysis/72NSLecZFdTGJBGCb27QVR",4,1,226826,FALSE,"https://api.spotify.com/v1/tracks/72NSLecZFdTGJBGCb27QVR",FALSE,"Wild World",NA,3,"track","spotify:track:72NSLecZFdTGJBGCb27QVR","https://open.spotify.com/track/72NSLecZFdTGJBGCb27QVR","Tea For The Tillerman²","A","minor","A minor","folk"
"Yusuf / Cat Stevens","08F3Y3SctIlsOEmKd6dnH8","4d0yYXHa2zt2vZgfm7t8yP","album","2020-09-18",2020,"day",0.716,0.284,2,-10.974,1,0.0315,0.936,0.000184,0.114,0.154,111.928,"4wEiuLPlURAWMZMvq6gRjF","https://api.spotify.com/v1/audio-analysis/4wEiuLPlURAWMZMvq6gRjF",4,1,237786,FALSE,"https://api.spotify.com/v1/tracks/4wEiuLPlURAWMZMvq6gRjF",FALSE,"Sad Lisa",NA,4,"track","spotify:track:4wEiuLPlURAWMZMvq6gRjF","https://open.spotify.com/track/4wEiuLPlURAWMZMvq6gRjF","Tea For The Tillerman²","D","major","D major","folk"
"Yusuf / Cat Stevens","08F3Y3SctIlsOEmKd6dnH8","4d0yYXHa2zt2vZgfm7t8yP","album","2020-09-18",2020,"day",0.365,0.58,6,-6.97,1,0.0372,0.104,7.02e-05,0.0997,0.29,155.928,"1sZnHfyffvnssdFfHNpTFU","https://api.spotify.com/v1/audio-analysis/1sZnHfyffvnssdFfHNpTFU",4,1,241733,FALSE,"https://api.spotify.com/v1/tracks/1sZnHfyffvnssdFfHNpTFU",FALSE,"Miles From Nowhere",NA,5,"track","spotify:track:1sZnHfyffvnssdFfHNpTFU","https://open.spotify.com/track/1sZnHfyffvnssdFfHNpTFU","Tea For The Tillerman²","F#","major","F# major","folk"
"Yusuf / Cat Stevens","08F3Y3SctIlsOEmKd6dnH8","4d0yYXHa2zt2vZgfm7t8yP","album","2020-09-18",2020,"day",0.624,0.455,7,-8.139,1,0.0268,0.0805,0.000308,0.099,0.372,122.08,"5Mgt18unCmq2A253BqQPuC","https://api.spotify.com/v1/audio-analysis/5Mgt18unCmq2A253BqQPuC",4,1,192813,FALSE,"https://api.spotify.com/v1/tracks/5Mgt18unCmq2A253BqQPuC",FALSE,"But I Might Die Tonight",NA,6,"track","spotify:track:5Mgt18unCmq2A253BqQPuC","https://open.spotify.com/track/5Mgt18unCmq2A253BqQPuC","Tea For The Tillerman²","G","major","G major","folk"
"Yusuf / Cat Stevens","08F3Y3SctIlsOEmKd6dnH8","4d0yYXHa2zt2vZgfm7t8yP","album","2020-09-18",2020,"day",0.768,0.446,7,-9.756,1,0.114,0.567,0,0.0967,0.489,144.214,"52Ya3BnikjhgMKCBjAzOXD","https://api.spotify.com/v1/audio-analysis/52Ya3BnikjhgMKCBjAzOXD",4,1,149933,FALSE,"https://api.spotify.com/v1/tracks/52Ya3BnikjhgMKCBjAzOXD",FALSE,"Longer Boats",NA,7,"track","spotify:track:52Ya3BnikjhgMKCBjAzOXD","https://open.spotify.com/track/52Ya3BnikjhgMKCBjAzOXD","Tea For The Tillerman²","G","major","G major","folk"
"Yusuf / Cat Stevens","08F3Y3SctIlsOEmKd6dnH8","4d0yYXHa2zt2vZgfm7t8yP","album","2020-09-18",2020,"day",0.683,0.21,9,-14.072,1,0.0297,0.768,0.000364,0.114,0.221,103.03,"6Go6QErWDUByUVluRf5rAs","https://api.spotify.com/v1/audio-analysis/6Go6QErWDUByUVluRf5rAs",3,1,222746,FALSE,"https://api.spotify.com/v1/tracks/6Go6QErWDUByUVluRf5rAs",FALSE,"Into White",NA,8,"track","spotify:track:6Go6QErWDUByUVluRf5rAs","https://open.spotify.com/track/6Go6QErWDUByUVluRf5rAs","Tea For The Tillerman²","A","major","A major","folk"
"Yusuf / Cat Stevens","08F3Y3SctIlsOEmKd6dnH8","4d0yYXHa2zt2vZgfm7t8yP","album","2020-09-18",2020,"day",0.756,0.569,5,-6.452,1,0.0313,0.65,0.0052,0.103,0.573,81.977,"5EbunDkCMaBRcuRTTY29SF","https://api.spotify.com/v1/audio-analysis/5EbunDkCMaBRcuRTTY29SF",4,1,348493,FALSE,"https://api.spotify.com/v1/tracks/5EbunDkCMaBRcuRTTY29SF",FALSE,"On The Road To Find Out",NA,9,"track","spotify:track:5EbunDkCMaBRcuRTTY29SF","https://open.spotify.com/track/5EbunDkCMaBRcuRTTY29SF","Tea For The Tillerman²","F","major","F major","folk"
"Yusuf / Cat Stevens","08F3Y3SctIlsOEmKd6dnH8","4d0yYXHa2zt2vZgfm7t8yP","album","2020-09-18",2020,"day",0.471,0.413,6,-7.696,1,0.033,0.583,0.000522,0.136,0.261,136.703,"20y3DqwhOEWft7nQncfc9O","https://api.spotify.com/v1/audio-analysis/20y3DqwhOEWft7nQncfc9O",4,1,229933,FALSE,"https://api.spotify.com/v1/tracks/20y3DqwhOEWft7nQncfc9O",FALSE,"Father And Son",NA,10,"track","spotify:track:20y3DqwhOEWft7nQncfc9O","https://open.spotify.com/track/20y3DqwhOEWft7nQncfc9O","Tea For The Tillerman²","F#","major","F# major","folk"
"Yusuf / Cat Stevens","08F3Y3SctIlsOEmKd6dnH8","4d0yYXHa2zt2vZgfm7t8yP","album","2020-09-18",2020,"day",0.466,0.286,0,-8.703,1,0.131,0.886,0.000764,0.191,0.599,211.315,"5fUMqHnQIm1rOxtLAxKGMv","https://api.spotify.com/v1/audio-analysis/5fUMqHnQIm1rOxtLAxKGMv",4,1,59800,FALSE,"https://api.spotify.com/v1/tracks/5fUMqHnQIm1rOxtLAxKGMv",FALSE,"Tea For The Tillerman",NA,11,"track","spotify:track:5fUMqHnQIm1rOxtLAxKGMv","https://open.spotify.com/track/5fUMqHnQIm1rOxtLAxKGMv","Tea For The Tillerman²","C","major","C major","folk"
"Yusuf / Cat Stevens","08F3Y3SctIlsOEmKd6dnH8","2vwL7YWZbMu75C0k85kFgg","album","2018-04-20",2018,"day",0.504,0.644,11,-6.647,1,0.0274,0.137,0,0.0999,0.794,138.966,"19LddIg0yO52AU1DtQ8YA9","https://api.spotify.com/v1/audio-analysis/19LddIg0yO52AU1DtQ8YA9",4,1,143200,FALSE,"https://api.spotify.com/v1/tracks/19LddIg0yO52AU1DtQ8YA9",FALSE,"Kitty","https://p.scdn.co/mp3-preview/33d08cfde56ab415259138ef4087261dba1ddce4?cid=c22575ce003a46ba95e4590c10b3acb1",1,"track","spotify:track:19LddIg0yO52AU1DtQ8YA9","https://open.spotify.com/track/19LddIg0yO52AU1DtQ8YA9","New Masters","B","major","B major","folk"
"Yusuf / Cat Stevens","08F3Y3SctIlsOEmKd6dnH8","2vwL7YWZbMu75C0k85kFgg","album","2018-04-20",2018,"day",0.556,0.283,0,-10.087,1,0.0277,0.74,0,0.0965,0.384,102.746,"48OhgKsu9oLZ2DxtTEt7N2","https://api.spotify.com/v1/audio-analysis/48OhgKsu9oLZ2DxtTEt7N2",4,1,144426,FALSE,"https://api.spotify.com/v1/tracks/48OhgKsu9oLZ2DxtTEt7N2",FALSE,"I'm So Sleepy","https://p.scdn.co/mp3-preview/b591ba80c8d51b25675b441435ab21667d269f82?cid=c22575ce003a46ba95e4590c10b3acb1",2,"track","spotify:track:48OhgKsu9oLZ2DxtTEt7N2","https://open.spotify.com/track/48OhgKsu9oLZ2DxtTEt7N2","New Masters","C","major","C major","folk"
"Yusuf / Cat Stevens","08F3Y3SctIlsOEmKd6dnH8","2vwL7YWZbMu75C0k85kFgg","album","2018-04-20",2018,"day",0.3,0.76,0,-7.985,1,0.048,0.271,0,0.0768,0.601,134.595,"7y1N0myrNZwzhTATZiQq3P","https://api.spotify.com/v1/audio-analysis/7y1N0myrNZwzhTATZiQq3P",4,1,171133,FALSE,"https://api.spotify.com/v1/tracks/7y1N0myrNZwzhTATZiQq3P",FALSE,"Northern Wind","https://p.scdn.co/mp3-preview/a2ab3aca06aa0ede89f1930ffa538dd68bc365f3?cid=c22575ce003a46ba95e4590c10b3acb1",3,"track","spotify:track:7y1N0myrNZwzhTATZiQq3P","https://open.spotify.com/track/7y1N0myrNZwzhTATZiQq3P","New Masters","C","major","C major","folk"
