"artist_name","artist_id","album_id","album_type","album_release_date","album_release_year","album_release_date_precision","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","track_id","analysis_url","time_signature","disc_number","duration_ms","explicit","track_href","is_local","track_name","track_preview_url","track_number","type","track_uri","external_urls.spotify","album_name","key_name","mode_name","key_mode","genre"
"iann dior","6ASri4ePR7RlsvIQgWPJpS","4Wb5bU9FkmZ84WkkL37rKA","album","2020-06-12",2020,"day",0.643,0.616,5,-9.31,0,0.0805,0.297,0,0.12,0.511,85,"4jfnqlSrS0UevqOD5qsHLe","https://api.spotify.com/v1/audio-analysis/4jfnqlSrS0UevqOD5qsHLe",4,1,120705,TRUE,"https://api.spotify.com/v1/tracks/4jfnqlSrS0UevqOD5qsHLe",FALSE,"Paradise",NA,1,"track","spotify:track:4jfnqlSrS0UevqOD5qsHLe","https://open.spotify.com/track/4jfnqlSrS0UevqOD5qsHLe","I'm Gone","F","minor","F minor","rap"
"iann dior","6ASri4ePR7RlsvIQgWPJpS","4Wb5bU9FkmZ84WkkL37rKA","album","2020-06-12",2020,"day",0.732,0.511,6,-6.779,1,0.0541,0.276,0,0.0916,0.62,96.946,"3fKdTr6Uv8HTb92Ih3QWxa","https://api.spotify.com/v1/audio-analysis/3fKdTr6Uv8HTb92Ih3QWxa",4,1,133608,TRUE,"https://api.spotify.com/v1/tracks/3fKdTr6Uv8HTb92Ih3QWxa",FALSE,"Pretty Girls",NA,2,"track","spotify:track:3fKdTr6Uv8HTb92Ih3QWxa","https://open.spotify.com/track/3fKdTr6Uv8HTb92Ih3QWxa","I'm Gone","F#","major","F# major","rap"
"iann dior","6ASri4ePR7RlsvIQgWPJpS","4Wb5bU9FkmZ84WkkL37rKA","album","2020-06-12",2020,"day",0.729,0.466,8,-10.686,0,0.0882,0.593,0,0.12,0.472,122.029,"6FICvbjTnkX4zs5kGABD5W","https://api.spotify.com/v1/audio-analysis/6FICvbjTnkX4zs5kGABD5W",4,1,146557,TRUE,"https://api.spotify.com/v1/tracks/6FICvbjTnkX4zs5kGABD5W",FALSE,"Sickness",NA,3,"track","spotify:track:6FICvbjTnkX4zs5kGABD5W","https://open.spotify.com/track/6FICvbjTnkX4zs5kGABD5W","I'm Gone","G#","minor","G# minor","rap"
"iann dior","6ASri4ePR7RlsvIQgWPJpS","4Wb5bU9FkmZ84WkkL37rKA","album","2020-06-12",2020,"day",0.709,0.76,8,-7.583,1,0.148,0.186,0,0.164,0.709,81.495,"4VZFXDtx8NnXWeJHOMzEan","https://api.spotify.com/v1/audio-analysis/4VZFXDtx8NnXWeJHOMzEan",4,1,106012,TRUE,"https://api.spotify.com/v1/tracks/4VZFXDtx8NnXWeJHOMzEan",FALSE,"Shameless",NA,4,"track","spotify:track:4VZFXDtx8NnXWeJHOMzEan","https://open.spotify.com/track/4VZFXDtx8NnXWeJHOMzEan","I'm Gone","G#","major","G# major","rap"
"iann dior","6ASri4ePR7RlsvIQgWPJpS","4Wb5bU9FkmZ84WkkL37rKA","album","2020-06-12",2020,"day",0.808,0.561,9,-9.062,0,0.0753,0.592,2.16e-06,0.368,0.549,126.044,"6bOe2m87a2seBQf1KJjWLi","https://api.spotify.com/v1/audio-analysis/6bOe2m87a2seBQf1KJjWLi",4,1,122023,TRUE,"https://api.spotify.com/v1/tracks/6bOe2m87a2seBQf1KJjWLi",FALSE,"Psycho",NA,5,"track","spotify:track:6bOe2m87a2seBQf1KJjWLi","https://open.spotify.com/track/6bOe2m87a2seBQf1KJjWLi","I'm Gone","A","minor","A minor","rap"
"iann dior","6ASri4ePR7RlsvIQgWPJpS","4Wb5bU9FkmZ84WkkL37rKA","album","2020-06-12",2020,"day",0.748,0.492,11,-8.584,1,0.0498,0.151,0,0.146,0.483,145.097,"0DILU9jjSTnCv1dcbUH3ib","https://api.spotify.com/v1/audio-analysis/0DILU9jjSTnCv1dcbUH3ib",4,1,144000,FALSE,"https://api.spotify.com/v1/tracks/0DILU9jjSTnCv1dcbUH3ib",FALSE,"Sick and Tired (ft. Machine Gun Kelly and Travis Barker)",NA,6,"track","spotify:track:0DILU9jjSTnCv1dcbUH3ib","https://open.spotify.com/track/0DILU9jjSTnCv1dcbUH3ib","I'm Gone","B","major","B major","rap"
"iann dior","6ASri4ePR7RlsvIQgWPJpS","4Wb5bU9FkmZ84WkkL37rKA","album","2020-06-12",2020,"day",0.636,0.489,10,-7.611,0,0.284,0.192,1.99e-06,0.266,0.539,174.057,"2cfvN9LpM3RFW3wKqrE1jZ","https://api.spotify.com/v1/audio-analysis/2cfvN9LpM3RFW3wKqrE1jZ",4,1,144913,TRUE,"https://api.spotify.com/v1/tracks/2cfvN9LpM3RFW3wKqrE1jZ",FALSE,"Runaway Kid",NA,7,"track","spotify:track:2cfvN9LpM3RFW3wKqrE1jZ","https://open.spotify.com/track/2cfvN9LpM3RFW3wKqrE1jZ","I'm Gone","A#","minor","A# minor","rap"
"iann dior","6ASri4ePR7RlsvIQgWPJpS","4Wb5bU9FkmZ84WkkL37rKA","album","2020-06-12",2020,"day",0.715,0.64,9,-6.947,1,0.106,0.632,0,0.0905,0.444,82.465,"3ZqgCbcM2AGXivffHcun0X","https://api.spotify.com/v1/audio-analysis/3ZqgCbcM2AGXivffHcun0X",4,1,116363,TRUE,"https://api.spotify.com/v1/tracks/3ZqgCbcM2AGXivffHcun0X",FALSE,"Good Day",NA,8,"track","spotify:track:3ZqgCbcM2AGXivffHcun0X","https://open.spotify.com/track/3ZqgCbcM2AGXivffHcun0X","I'm Gone","A","major","A major","rap"
"iann dior","6ASri4ePR7RlsvIQgWPJpS","4Wb5bU9FkmZ84WkkL37rKA","album","2020-06-12",2020,"day",0.816,0.579,1,-6.097,1,0.0867,0.203,0,0.127,0.43,120.078,"4iHSE5R1U8jf84tRn52xRt","https://api.spotify.com/v1/audio-analysis/4iHSE5R1U8jf84tRn52xRt",4,1,226313,TRUE,"https://api.spotify.com/v1/tracks/4iHSE5R1U8jf84tRn52xRt",FALSE,"Prospect (ft. Lil Baby)",NA,9,"track","spotify:track:4iHSE5R1U8jf84tRn52xRt","https://open.spotify.com/track/4iHSE5R1U8jf84tRn52xRt","I'm Gone","C#","major","C# major","rap"
"iann dior","6ASri4ePR7RlsvIQgWPJpS","5UuzudgFxwLkxC1LFajC5e","album","2019-11-08",2019,"day",0.695,0.869,5,-6.914,1,0.0264,0.71,0,0.343,0.92,123.991,"6IxHk0uFSBTwTiNDsWfqIv","https://api.spotify.com/v1/audio-analysis/6IxHk0uFSBTwTiNDsWfqIv",4,1,154870,TRUE,"https://api.spotify.com/v1/tracks/6IxHk0uFSBTwTiNDsWfqIv",FALSE,"Darkside",NA,1,"track","spotify:track:6IxHk0uFSBTwTiNDsWfqIv","https://open.spotify.com/track/6IxHk0uFSBTwTiNDsWfqIv","Industry Plant","F","major","F major","rap"
